wind direction,air density,humidity,turbulance intensity,above-hub height wind shear,below-hub height wind shear,relative power
176.1887,1.228167959,73.344347,0.051078343,0.167523703,0.121698941,4.809850466
186.4477,1.227624088,82.424607,0.074835998,0.275728617,0.219766181,4.919480126
199.5285,1.228438568,85.416384,0.065630187,0.196729284,0.110784607,4.246332184
202.5444,1.228597237,84.954189,0.049151691,0.22975383,0.151649959,4.15704155
201.184,1.22865398,85.190641,0.043984963,0.278375561,0.156535258,4.8799661
199.8794,1.228564065,84.778235,0.041730574,0.328765461,0.169418647,5.135197483
197.1752,1.227743024,82.319275,0.036612245,0.299323613,0.205878943,5.165525141
194.7595,1.227847176,82.045132,0.061762747,0.243125493,0.187857022,6.027226387
203.8111,1.233441533,84.505482,0.078616596,0.113001124,0.086770857,6.595217306
200.9224,1.231632205,80.834497,0.062230379,0.254669319,0.116726667,7.091494857
202.85,1.230333845,80.626013,0.08675884,0.17599964,0.090576991,7.389700484
201.4156,1.229622725,78.401523,0.049416369,0.181292656,0.115126226,7.111312918
203.8514,1.229467286,78.714148,0.067235459,0.150239692,0.084215,6.779843923
205.7654,1.229451959,78.581042,0.062772566,0.105375235,0.082738876,7.238908467
205.563,1.229598127,78.177962,0.05463819,0.095324616,0.107388071,6.727294212
208.0012,1.229412892,79.250734,0.075554751,0.127414144,0.121344857,6.75845998
206.9648,1.230042454,80.443913,0.054107269,0.143239377,0.099697983,6.465980452
198.9755,1.22977169,80.85116,0.047579568,0.156592919,0.108792081,6.754177312
195.2979,1.230106033,80.271728,0.048395017,0.161820202,0.114292521,6.076982042
197.4942,1.23014842,81.851327,0.047116839,0.195105289,0.109072995,5.691054731
200.1369,1.230152595,82.702719,0.043970388,0.213439163,0.139632381,5.5423526
205.2214,1.230062847,83.097273,0.049084192,0.208045569,0.173890512,5.529010194
204.1007,1.22933202,81.958048,0.050477732,0.288021295,0.158441458,5.897288777
200.8343,1.228466821,80.124739,0.042495453,0.347948977,0.197935598,5.737801116
197.7035,1.227362868,78.283297,0.036573591,0.331373437,0.178075241,4.880306446
199.3735,1.227048097,78.15852,0.038279616,0.364742106,0.208863819,4.575439486
197.0309,1.226583036,77.685219,0.03363082,0.455735815,0.252490664,4.749098606
194.9614,1.225568607,75.55416,0.038392353,0.429160251,0.297916469,5.626633852
189.51,1.224552038,73.198745,0.057052654,0.292697415,0.264849332,4.280799529
180.6182,1.225324419,76.869532,0.056225404,0.353570498,0.279352425,5.214846885
184.2639,1.223902128,73.612738,0.044180203,0.33055851,0.252033304,4.880671135
190.7674,1.223690264,72.675849,0.06151268,0.419831258,0.223230269,4.504887943
192.3806,1.222831428,70.242479,0.038415263,0.336100633,0.200621107,5.543149208
