,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,79.63,54.14,0.0,0
1,crps,crps,61.87,46.36,0.0,0
2,crps,dss,27.48,-137.59,0.0,0
3,crps,is1,687.25,635.79,0.0,0
4,dss,sse,80.22,72.27,0.0,0
5,dss,crps,60.63,50.4,0.0,0
6,dss,dss,-11.93,-157.08,0.0,0
7,dss,is1,689.31,651.16,0.0,0
8,is1,sse,83.02,54.99,0.0,0
9,is1,crps,63.1,46.69,0.0,0
10,is1,dss,50.87,-139.31,0.0,0
11,is1,is1,690.3,635.06,0.0,0
12,sse,sse,79.77,53.68,0.0,0
13,sse,crps,61.78,46.35,0.0,0
14,sse,dss,25.63,-144.67,0.0,0
15,sse,is1,686.99,635.49,0.0,0
16,crps,sse,82.73,57.18,0.1,0
17,crps,crps,62.82,48.49,0.1,0
18,crps,dss,33.12,-53.25,0.1,0
19,crps,is1,699.56,643.43,0.1,0
20,dss,sse,79.86,72.5,0.1,0
21,dss,crps,60.3,50.71,0.1,0
22,dss,dss,-19.58,-154.39,0.1,0
23,dss,is1,690.58,652.18,0.1,0
24,is1,sse,81.9,56.04,0.1,0
25,is1,crps,62.22,47.67,0.1,0
26,is1,dss,54.1,-73.23,0.1,0
27,is1,is1,689.81,637.46,0.1,0
28,sse,sse,82.73,57.18,0.1,0
29,sse,crps,62.82,48.49,0.1,0
30,sse,dss,33.12,-53.25,0.1,0
31,sse,is1,699.56,643.43,0.1,0
32,crps,sse,161.75,184.41,0.3,0
33,crps,crps,92.98,96.98,0.3,0
34,crps,dss,95.98,148.7,0.3,0
35,crps,is1,757.56,761.45,0.3,0
36,dss,sse,236.64,216.1,0.3,0
37,dss,crps,109.47,101.54,0.3,0
38,dss,dss,142.37,76.54,0.3,0
39,dss,is1,820.94,779.82,0.3,0
40,is1,sse,161.75,184.41,0.3,0
41,is1,crps,92.98,96.98,0.3,0
42,is1,dss,95.98,148.7,0.3,0
43,is1,is1,757.56,761.45,0.3,0
44,sse,sse,161.75,184.41,0.3,0
45,sse,crps,92.98,96.98,0.3,0
46,sse,dss,95.98,148.7,0.3,0
47,sse,is1,757.56,761.45,0.3,0
48,crps,sse,161.75,184.41,0.5,0
49,crps,crps,92.98,96.98,0.5,0
50,crps,dss,95.98,148.7,0.5,0
51,crps,is1,757.56,761.45,0.5,0
52,dss,sse,279.14,265.8,0.5,0
53,dss,crps,121.21,116.02,0.5,0
54,dss,dss,163.39,141.56,0.5,0
55,dss,is1,850.33,831.51,0.5,0
56,is1,sse,161.75,184.41,0.5,0
57,is1,crps,92.98,96.98,0.5,0
58,is1,dss,95.98,148.7,0.5,0
59,is1,is1,757.56,761.45,0.5,0
60,sse,sse,161.75,184.41,0.5,0
61,sse,crps,92.98,96.98,0.5,0
62,sse,dss,95.98,148.7,0.5,0
63,sse,is1,757.56,761.45,0.5,0
64,crps,sse,161.75,184.41,0.8,0
65,crps,crps,92.98,96.98,0.8,0
66,crps,dss,95.98,148.7,0.8,0
67,crps,is1,757.56,761.45,0.8,0
68,dss,sse,279.14,265.8,0.8,0
69,dss,crps,121.21,116.02,0.8,0
70,dss,dss,163.39,141.56,0.8,0
71,dss,is1,850.33,831.51,0.8,0
72,is1,sse,161.75,184.41,0.8,0
73,is1,crps,92.98,96.98,0.8,0
74,is1,dss,95.98,148.7,0.8,0
75,is1,is1,757.56,761.45,0.8,0
76,sse,sse,161.75,184.41,0.8,0
77,sse,crps,92.98,96.98,0.8,0
78,sse,dss,95.98,148.7,0.8,0
79,sse,is1,757.56,761.45,0.8,0
0,crps,sse,74.4,55.59,0.0,1
1,crps,crps,57.72,47.06,0.0,1
2,crps,dss,-103.81,-162.77,0.0,1
3,crps,is1,675.77,673.56,0.0,1
4,dss,sse,76.44,55.7,0.0,1
5,dss,crps,57.71,47.86,0.0,1
6,dss,dss,-75.56,-168.79,0.0,1
7,dss,is1,682.56,678.0,0.0,1
8,is1,sse,87.56,58.8,0.0,1
9,is1,crps,63.28,48.41,0.0,1
10,is1,dss,-33.24,-119.95,0.0,1
11,is1,is1,685.05,666.49,0.0,1
12,sse,sse,75.61,55.5,0.0,1
13,sse,crps,57.74,47.79,0.0,1
14,sse,dss,-105.5,-168.06,0.0,1
15,sse,is1,681.65,678.8,0.0,1
16,crps,sse,80.6,61.16,0.1,1
17,crps,crps,58.44,50.68,0.1,1
18,crps,dss,-42.37,-103.5,0.1,1
19,crps,is1,680.08,681.41,0.1,1
20,dss,sse,76.27,55.96,0.1,1
21,dss,crps,57.12,48.36,0.1,1
22,dss,dss,-77.2,-166.27,0.1,1
23,dss,is1,680.38,679.12,0.1,1
24,is1,sse,87.17,60.54,0.1,1
25,is1,crps,62.04,49.73,0.1,1
26,is1,dss,-48.36,-107.96,0.1,1
27,is1,is1,677.8,671.26,0.1,1
28,sse,sse,80.6,61.16,0.1,1
29,sse,crps,58.44,50.68,0.1,1
30,sse,dss,-42.37,-103.5,0.1,1
31,sse,is1,680.08,681.41,0.1,1
32,crps,sse,184.09,169.73,0.3,1
33,crps,crps,98.29,93.57,0.3,1
34,crps,dss,79.85,51.38,0.3,1
35,crps,is1,763.84,769.48,0.3,1
36,dss,sse,184.09,169.73,0.3,1
37,dss,crps,98.29,93.57,0.3,1
38,dss,dss,79.85,51.38,0.3,1
39,dss,is1,763.84,769.48,0.3,1
40,is1,sse,184.09,169.73,0.3,1
41,is1,crps,98.29,93.57,0.3,1
42,is1,dss,79.85,51.38,0.3,1
43,is1,is1,763.84,769.48,0.3,1
44,sse,sse,184.09,169.73,0.3,1
45,sse,crps,98.29,93.57,0.3,1
46,sse,dss,79.85,51.38,0.3,1
47,sse,is1,763.84,769.48,0.3,1
48,crps,sse,184.09,169.73,0.5,1
49,crps,crps,98.29,93.57,0.5,1
50,crps,dss,79.85,51.38,0.5,1
51,crps,is1,763.84,769.48,0.5,1
52,dss,sse,184.09,169.73,0.5,1
53,dss,crps,98.29,93.57,0.5,1
54,dss,dss,79.85,51.38,0.5,1
55,dss,is1,763.84,769.48,0.5,1
56,is1,sse,184.09,169.73,0.5,1
57,is1,crps,98.29,93.57,0.5,1
58,is1,dss,79.85,51.38,0.5,1
59,is1,is1,763.84,769.48,0.5,1
60,sse,sse,184.09,169.73,0.5,1
61,sse,crps,98.29,93.57,0.5,1
62,sse,dss,79.85,51.38,0.5,1
63,sse,is1,763.84,769.48,0.5,1
64,crps,sse,184.09,169.73,0.8,1
65,crps,crps,98.29,93.57,0.8,1
66,crps,dss,79.85,51.38,0.8,1
67,crps,is1,763.84,769.48,0.8,1
68,dss,sse,184.09,169.73,0.8,1
69,dss,crps,98.29,93.57,0.8,1
70,dss,dss,79.85,51.38,0.8,1
71,dss,is1,763.84,769.48,0.8,1
72,is1,sse,184.09,169.73,0.8,1
73,is1,crps,98.29,93.57,0.8,1
74,is1,dss,79.85,51.38,0.8,1
75,is1,is1,763.84,769.48,0.8,1
76,sse,sse,184.09,169.73,0.8,1
77,sse,crps,98.29,93.57,0.8,1
78,sse,dss,79.85,51.38,0.8,1
79,sse,is1,763.84,769.48,0.8,1
0,crps,sse,97.05,83.95,0.0,2
1,crps,crps,64.06,52.5,0.0,2
2,crps,dss,-52.52,-133.03,0.0,2
3,crps,is1,690.07,679.13,0.0,2
4,dss,sse,95.68,88.33,0.0,2
5,dss,crps,63.19,53.83,0.0,2
6,dss,dss,-17.11,-148.23,0.0,2
7,dss,is1,700.16,683.42,0.0,2
8,is1,sse,137.55,96.73,0.0,2
9,is1,crps,73.54,55.0,0.0,2
10,is1,dss,-47.42,-114.27,0.0,2
11,is1,is1,684.93,671.98,0.0,2
12,sse,sse,96.99,83.79,0.0,2
13,sse,crps,64.25,52.63,0.0,2
14,sse,dss,-61.57,-134.21,0.0,2
15,sse,is1,690.47,679.03,0.0,2
16,crps,sse,98.13,85.42,0.1,2
17,crps,crps,64.56,53.67,0.1,2
18,crps,dss,-53.3,-124.3,0.1,2
19,crps,is1,687.71,681.57,0.1,2
20,dss,sse,95.14,89.39,0.1,2
21,dss,crps,63.22,54.49,0.1,2
22,dss,dss,-21.96,-141.12,0.1,2
23,dss,is1,696.85,685.4,0.1,2
24,is1,sse,186.58,114.95,0.1,2
25,is1,crps,84.87,60.54,0.1,2
26,is1,dss,132.85,52.99,0.1,2
27,is1,is1,686.88,680.76,0.1,2
28,sse,sse,98.13,85.42,0.1,2
29,sse,crps,64.56,53.67,0.1,2
30,sse,dss,-53.3,-124.3,0.1,2
31,sse,is1,687.71,681.57,0.1,2
32,crps,sse,195.83,215.18,0.3,2
33,crps,crps,103.52,102.83,0.3,2
34,crps,dss,109.46,82.77,0.3,2
35,crps,is1,774.03,804.98,0.3,2
36,dss,sse,195.83,215.18,0.3,2
37,dss,crps,103.52,102.83,0.3,2
38,dss,dss,109.46,82.77,0.3,2
39,dss,is1,774.03,804.98,0.3,2
40,is1,sse,291.77,228.54,0.3,2
41,is1,crps,125.68,103.73,0.3,2
42,is1,dss,285.85,226.5,0.3,2
43,is1,is1,775.09,774.37,0.3,2
44,sse,sse,195.83,215.18,0.3,2
45,sse,crps,103.52,102.83,0.3,2
