,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,4434.53,2840.95,0.0,0
1,crps,crps,329.7,235.55,0.0,0
2,crps,dss,540.93,383.18,0.0,0
3,crps,is1,1129.75,817.85,0.0,0
4,dss,sse,4215.43,2798.55,0.0,0
5,dss,crps,315.38,245.57,0.0,0
6,dss,dss,426.47,349.2,0.0,0
7,dss,is1,1106.87,800.94,0.0,0
8,is1,sse,4061.15,2960.31,0.0,0
9,is1,crps,317.42,236.61,0.0,0
10,is1,dss,429.7,344.46,0.0,0
11,is1,is1,1120.77,777.79,0.0,0
12,sse,sse,4475.22,2692.01,0.0,0
13,sse,crps,326.68,245.71,0.0,0
14,sse,dss,522.49,386.26,0.0,0
15,sse,is1,1154.99,853.09,0.0,0
16,crps,sse,4434.53,2840.95,0.1,0
17,crps,crps,329.7,235.55,0.1,0
18,crps,dss,540.93,383.18,0.1,0
19,crps,is1,1129.75,817.85,0.1,0
20,dss,sse,4215.43,2798.55,0.1,0
21,dss,crps,315.38,245.57,0.1,0
22,dss,dss,426.47,349.2,0.1,0
23,dss,is1,1106.87,800.94,0.1,0
24,is1,sse,3978.57,3038.39,0.1,0
25,is1,crps,322.68,254.65,0.1,0
26,is1,dss,494.86,412.14,0.1,0
27,is1,is1,1170.45,814.85,0.1,0
28,sse,sse,4158.59,2851.02,0.1,0
29,sse,crps,331.99,268.99,0.1,0
30,sse,dss,483.23,434.45,0.1,0
31,sse,is1,1224.3,888.58,0.1,0
32,crps,sse,4116.22,3011.76,0.3,0
33,crps,crps,326.91,256.72,0.3,0
34,crps,dss,502.21,417.32,0.3,0
35,crps,is1,1168.25,831.93,0.3,0
36,dss,sse,4168.68,2841.3,0.3,0
37,dss,crps,309.6,249.88,0.3,0
38,dss,dss,419.93,354.68,0.3,0
39,dss,is1,1102.42,812.13,0.3,0
40,is1,sse,4369.85,3346.77,0.3,0
41,is1,crps,336.29,277.59,0.3,0
42,is1,dss,478.12,430.86,0.3,0
43,is1,is1,1181.63,851.61,0.3,0
44,sse,sse,4158.59,2851.02,0.3,0
45,sse,crps,331.99,268.99,0.3,0
46,sse,dss,483.23,434.45,0.3,0
47,sse,is1,1224.3,888.58,0.3,0
48,crps,sse,4116.22,3011.76,0.5,0
49,crps,crps,326.91,256.72,0.5,0
