,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,102.9,127.83,0.0,0
1,crps,crps,137.07,147.74,0.0,0
2,crps,dss,-1011.58,-940.07,0.0,0
3,crps,is1,553.69,586.2,0.0,0
4,dss,sse,101.04,126.71,0.0,0
5,dss,crps,134.35,147.83,0.0,0
6,dss,dss,-1040.74,-957.28,0.0,0
7,dss,is1,552.46,580.67,0.0,0
8,is1,sse,102.07,127.03,0.0,0
9,is1,crps,135.77,147.77,0.0,0
10,is1,dss,-1022.93,-945.93,0.0,0
11,is1,is1,561.76,577.9,0.0,0
12,sse,sse,103.46,127.17,0.0,0
13,sse,crps,135.98,148.02,0.0,0
14,sse,dss,-1016.12,-940.01,0.0,0
15,sse,is1,556.59,586.28,0.0,0
16,crps,sse,102.84,127.93,0.1,0
17,crps,crps,136.76,148.12,0.1,0
18,crps,dss,-1012.2,-939.09,0.1,0
19,crps,is1,553.35,588.19,0.1,0
20,dss,sse,101.83,127.24,0.1,0
21,dss,crps,137.0,150.57,0.1,0
22,dss,dss,-1027.06,-948.99,0.1,0
23,dss,is1,570.03,591.7,0.1,0
24,is1,sse,102.07,127.03,0.1,0
25,is1,crps,135.77,147.77,0.1,0
26,is1,dss,-1022.93,-945.93,0.1,0
27,is1,is1,561.76,577.9,0.1,0
28,sse,sse,103.48,127.19,0.1,0
29,sse,crps,135.98,148.08,0.1,0
30,sse,dss,-1015.89,-939.78,0.1,0
31,sse,is1,556.92,586.95,0.1,0
32,crps,sse,102.01,128.57,0.3,0
33,crps,crps,136.22,148.71,0.3,0
34,crps,dss,-1028.79,-908.01,0.3,0
35,crps,is1,550.86,589.74,0.3,0
36,dss,sse,101.92,129.31,0.3,0
37,dss,crps,139.47,155.78,0.3,0
38,dss,dss,-1026.15,-928.32,0.3,0
39,dss,is1,577.15,613.6,0.3,0
40,is1,sse,101.08,128.08,0.3,0
41,is1,crps,133.42,149.5,0.3,0
42,is1,dss,-1041.17,-931.94,0.3,0
43,is1,is1,550.04,584.33,0.3,0
44,sse,sse,102.79,128.12,0.3,0
45,sse,crps,136.64,150.04,0.3,0
46,sse,dss,-1031.35,-905.86,0.3,0
47,sse,is1,564.74,595.19,0.3,0
48,crps,sse,99.92,129.52,0.5,0
49,crps,crps,132.78,150.61,0.5,0
50,crps,dss,-1053.23,-895.19,0.5,0
51,crps,is1,544.04,592.33,0.5,0
52,dss,sse,103.33,131.5,0.5,0
53,dss,crps,141.28,158.43,0.5,0
54,dss,dss,-1004.79,-867.41,0.5,0
55,dss,is1,582.68,628.77,0.5,0
56,is1,sse,99.92,129.52,0.5,0
57,is1,crps,132.78,150.61,0.5,0
58,is1,dss,-1053.23,-895.19,0.5,0
59,is1,is1,544.04,592.33,0.5,0
60,sse,sse,104.9,129.94,0.5,0
61,sse,crps,143.16,158.29,0.5,0
62,sse,dss,-925.41,-805.24,0.5,0
63,sse,is1,601.8,627.78,0.5,0
64,crps,sse,99.92,129.52,0.8,0
65,crps,crps,132.78,150.61,0.8,0
66,crps,dss,-1053.23,-895.19,0.8,0
67,crps,is1,544.04,592.33,0.8,0
68,dss,sse,103.33,131.5,0.8,0
69,dss,crps,141.28,158.43,0.8,0
70,dss,dss,-1004.79,-867.41,0.8,0
71,dss,is1,582.68,628.77,0.8,0
72,is1,sse,99.92,129.52,0.8,0
73,is1,crps,132.78,150.61,0.8,0
74,is1,dss,-1053.23,-895.19,0.8,0
75,is1,is1,544.04,592.33,0.8,0
76,sse,sse,104.03,130.74,0.8,0
77,sse,crps,142.41,159.07,0.8,0
78,sse,dss,-934.16,-797.24,0.8,0
79,sse,is1,596.93,629.47,0.8,0
0,crps,sse,111.11,116.68,0.0,1
1,crps,crps,142.78,140.78,0.0,1
2,crps,dss,-967.37,-1008.16,0.0,1
3,crps,is1,586.05,561.79,0.0,1
4,dss,sse,110.19,117.54,0.0,1
5,dss,crps,140.91,141.12,0.0,1
6,dss,dss,-986.23,-1009.87,0.0,1
7,dss,is1,572.98,564.6,0.0,1
8,is1,sse,111.89,117.39,0.0,1
9,is1,crps,142.85,141.5,0.0,1
10,is1,dss,-952.16,-974.41,0.0,1
11,is1,is1,583.31,562.47,0.0,1
12,sse,sse,113.22,115.57,0.0,1
13,sse,crps,144.52,141.89,0.0,1
14,sse,dss,-952.56,-987.86,0.0,1
15,sse,is1,591.66,561.64,0.0,1
16,crps,sse,111.08,116.7,0.1,1
17,crps,crps,142.82,140.85,0.1,1
18,crps,dss,-967.68,-1007.97,0.1,1
19,crps,is1,586.7,562.31,0.1,1
20,dss,sse,109.56,118.81,0.1,1
21,dss,crps,139.91,142.58,0.1,1
22,dss,dss,-991.14,-1002.45,0.1,1
23,dss,is1,567.11,569.93,0.1,1
24,is1,sse,111.3,117.78,0.1,1
25,is1,crps,141.97,142.28,0.1,1
26,is1,dss,-958.04,-970.56,0.1,1
27,is1,is1,580.85,565.22,0.1,1
28,sse,sse,112.91,115.85,0.1,1
29,sse,crps,144.02,142.81,0.1,1
30,sse,dss,-956.33,-984.62,0.1,1
31,sse,is1,588.12,565.35,0.1,1
32,crps,sse,111.06,118.01,0.3,1
33,crps,crps,141.99,142.71,0.3,1
34,crps,dss,-962.95,-967.96,0.3,1
35,crps,is1,582.91,568.18,0.3,1
