,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,2467.03,2272.91,0.0,0
1,crps,crps,379.11,321.13,0.0,0
2,crps,dss,733.46,565.27,0.0,0
3,crps,is1,1345.13,1349.72,0.0,0
4,dss,sse,2448.71,2206.82,0.0,0
5,dss,crps,382.44,315.05,0.0,0
6,dss,dss,699.06,578.18,0.0,0
7,dss,is1,1346.27,1313.08,0.0,0
8,is1,sse,2498.47,2281.83,0.0,0
9,is1,crps,388.93,330.06,0.0,0
10,is1,dss,708.72,635.71,0.0,0
11,is1,is1,1351.88,1313.98,0.0,0
12,sse,sse,2403.3,2231.26,0.0,0
13,sse,crps,381.63,331.24,0.0,0
14,sse,dss,719.53,650.29,0.0,0
15,sse,is1,1316.91,1357.38,0.0,0
16,crps,sse,2467.03,2272.91,0.1,0
17,crps,crps,379.11,321.13,0.1,0
18,crps,dss,733.46,565.27,0.1,0
19,crps,is1,1345.13,1349.72,0.1,0
20,dss,sse,2448.71,2206.82,0.1,0
21,dss,crps,382.44,315.05,0.1,0
22,dss,dss,699.06,578.18,0.1,0
23,dss,is1,1346.27,1313.08,0.1,0
24,is1,sse,2498.47,2281.83,0.1,0
25,is1,crps,388.93,330.06,0.1,0
26,is1,dss,708.72,635.71,0.1,0
27,is1,is1,1351.88,1313.98,0.1,0
28,sse,sse,2403.3,2231.26,0.1,0
29,sse,crps,381.63,331.24,0.1,0
30,sse,dss,719.53,650.29,0.1,0
31,sse,is1,1316.91,1357.38,0.1,0
32,crps,sse,2467.03,2272.91,0.3,0
33,crps,crps,379.11,321.13,0.3,0
34,crps,dss,733.46,565.27,0.3,0
35,crps,is1,1345.13,1349.72,0.3,0
36,dss,sse,2448.71,2206.82,0.3,0
37,dss,crps,382.44,315.05,0.3,0
38,dss,dss,699.06,578.18,0.3,0
39,dss,is1,1346.27,1313.08,0.3,0
40,is1,sse,2498.47,2281.83,0.3,0
41,is1,crps,388.93,330.06,0.3,0
42,is1,dss,708.72,635.71,0.3,0
43,is1,is1,1351.88,1313.98,0.3,0
44,sse,sse,2436.76,2368.27,0.3,0
45,sse,crps,377.63,354.04,0.3,0
46,sse,dss,708.04,687.06,0.3,0
47,sse,is1,1303.54,1408.88,0.3,0
48,crps,sse,2467.65,2277.72,0.5,0
49,crps,crps,379.16,322.09,0.5,0
50,crps,dss,731.05,567.37,0.5,0
51,crps,is1,1346.54,1352.52,0.5,0
52,dss,sse,2404.86,2325.82,0.5,0
53,dss,crps,371.69,329.73,0.5,0
54,dss,dss,690.35,587.5,0.5,0
55,dss,is1,1306.78,1369.18,0.5,0
56,is1,sse,2499.39,2285.01,0.5,0
57,is1,crps,389.01,330.71,0.5,0
58,is1,dss,706.5,637.3,0.5,0
59,is1,is1,1353.37,1316.22,0.5,0
60,sse,sse,2436.76,2368.27,0.5,0
61,sse,crps,377.63,354.04,0.5,0
62,sse,dss,708.04,687.06,0.5,0
63,sse,is1,1303.54,1408.88,0.5,0
64,crps,sse,2471.05,2297.51,0.8,0
65,crps,crps,374.79,326.23,0.8,0
66,crps,dss,696.06,578.53,0.8,0
67,crps,is1,1346.71,1356.15,0.8,0
68,dss,sse,2378.59,2348.23,0.8,0
69,dss,crps,365.86,335.77,0.8,0
70,dss,dss,661.43,595.98,0.8,0
71,dss,is1,1313.85,1375.5,0.8,0
72,is1,sse,2449.96,2373.14,0.8,0
73,is1,crps,378.93,353.98,0.8,0
74,is1,dss,711.62,687.57,0.8,0
75,is1,is1,1307.06,1404.96,0.8,0
76,sse,sse,2437.1,2388.19,0.8,0
77,sse,crps,377.62,355.83,0.8,0
78,sse,dss,706.77,690.12,0.8,0
79,sse,is1,1308.88,1415.92,0.8,0
0,crps,sse,2831.43,2021.28,0.0,1
1,crps,crps,401.55,315.18,0.0,1
2,crps,dss,718.4,602.62,0.0,1
3,crps,is1,1619.12,1156.84,0.0,1
4,dss,sse,2765.96,2068.32,0.0,1
5,dss,crps,393.35,322.62,0.0,1
6,dss,dss,796.96,586.54,0.0,1
7,dss,is1,1628.0,1162.52,0.0,1
8,is1,sse,2983.36,2015.29,0.0,1
9,is1,crps,408.08,320.73,0.0,1
10,is1,dss,772.2,612.2,0.0,1
11,is1,is1,1618.1,1131.06,0.0,1
12,sse,sse,2944.71,1940.52,0.0,1
13,sse,crps,401.87,309.42,0.0,1
14,sse,dss,728.35,571.63,0.0,1
15,sse,is1,1630.13,1144.9,0.0,1
16,crps,sse,2831.43,2021.28,0.1,1
17,crps,crps,401.55,315.18,0.1,1
18,crps,dss,718.4,602.62,0.1,1
19,crps,is1,1619.12,1156.84,0.1,1
20,dss,sse,2765.96,2068.32,0.1,1
21,dss,crps,393.35,322.62,0.1,1
22,dss,dss,796.96,586.54,0.1,1
23,dss,is1,1628.0,1162.52,0.1,1
24,is1,sse,2983.36,2015.29,0.1,1
25,is1,crps,408.08,320.73,0.1,1
26,is1,dss,772.2,612.2,0.1,1
27,is1,is1,1618.1,1131.06,0.1,1
28,sse,sse,2944.71,1940.52,0.1,1
29,sse,crps,401.87,309.42,0.1,1
30,sse,dss,728.35,571.63,0.1,1
31,sse,is1,1630.13,1144.9,0.1,1
32,crps,sse,2831.43,2021.28,0.3,1
33,crps,crps,401.55,315.18,0.3,1
34,crps,dss,718.4,602.62,0.3,1
35,crps,is1,1619.12,1156.84,0.3,1
36,dss,sse,2765.96,2068.32,0.3,1
37,dss,crps,393.35,322.62,0.3,1
38,dss,dss,796.96,586.54,0.3,1
39,dss,is1,1628.0,1162.52,0.3,1
40,is1,sse,2983.36,2015.29,0.3,1
41,is1,crps,408.08,320.73,0.3,1
42,is1,dss,772.2,612.2,0.3,1
43,is1,is1,1618.1,1131.06,0.3,1
44,sse,sse,2944.71,1940.52,0.3,1
45,sse,crps,401.87,309.42,0.3,1
46,sse,dss,728.35,571.63,0.3,1
47,sse,is1,1630.13,1144.9,0.3,1
48,crps,sse,2831.43,2021.28,0.5,1
49,crps,crps,401.55,315.18,0.5,1
50,crps,dss,718.4,602.62,0.5,1
51,crps,is1,1619.12,1156.84,0.5,1
52,dss,sse,2765.96,2068.32,0.5,1
53,dss,crps,393.35,322.62,0.5,1
54,dss,dss,796.96,586.54,0.5,1
55,dss,is1,1628.0,1162.52,0.5,1
56,is1,sse,2983.36,2015.29,0.5,1
57,is1,crps,408.08,320.73,0.5,1
58,is1,dss,772.2,612.2,0.5,1
59,is1,is1,1618.1,1131.06,0.5,1
60,sse,sse,2793.51,2213.84,0.5,1
61,sse,crps,402.47,349.98,0.5,1
62,sse,dss,731.97,679.18,0.5,1
63,sse,is1,1583.62,1184.91,0.5,1
64,crps,sse,2831.24,2036.74,0.8,1
65,crps,crps,400.74,316.69,0.8,1
66,crps,dss,731.86,616.08,0.8,1
67,crps,is1,1620.22,1157.22,0.8,1
68,dss,sse,2752.36,2091.87,0.8,1
69,dss,crps,391.66,324.72,0.8,1
70,dss,dss,796.53,588.79,0.8,1
71,dss,is1,1610.06,1174.91,0.8,1
72,is1,sse,2793.51,2213.84,0.8,1
73,is1,crps,402.47,349.98,0.8,1
74,is1,dss,731.97,679.18,0.8,1
75,is1,is1,1583.62,1184.91,0.8,1
76,sse,sse,2793.51,2213.84,0.8,1
77,sse,crps,402.47,349.98,0.8,1
78,sse,dss,731.97,679.18,0.8,1
79,sse,is1,1583.62,1184.91,0.8,1
0,crps,sse,2198.48,2506.62,0.0,2
1,crps,crps,349.83,352.21,0.0,2
2,crps,dss,668.81,634.97,0.0,2
3,crps,is1,1389.65,1356.99,0.0,2
4,dss,sse,2372.85,2447.73,0.0,2
5,dss,crps,366.8,351.93,0.0,2
6,dss,dss,747.68,634.55,0.0,2
7,dss,is1,1408.36,1349.86,0.0,2
8,is1,sse,2352.66,2565.16,0.0,2
9,is1,crps,364.74,361.58,0.0,2
10,is1,dss,710.4,670.24,0.0,2
11,is1,is1,1438.96,1345.56,0.0,2
12,sse,sse,2328.36,2424.48,0.0,2
13,sse,crps,359.28,351.34,0.0,2
14,sse,dss,740.99,670.55,0.0,2
15,sse,is1,1361.28,1362.34,0.0,2
16,crps,sse,2198.48,2506.62,0.1,2
17,crps,crps,349.83,352.21,0.1,2
18,crps,dss,668.81,634.97,0.1,2
19,crps,is1,1389.65,1356.99,0.1,2
20,dss,sse,2372.85,2447.73,0.1,2
21,dss,crps,366.8,351.93,0.1,2
22,dss,dss,747.68,634.55,0.1,2
23,dss,is1,1408.36,1349.86,0.1,2
24,is1,sse,2352.66,2565.16,0.1,2
25,is1,crps,364.74,361.58,0.1,2
26,is1,dss,710.4,670.24,0.1,2
27,is1,is1,1438.96,1345.56,0.1,2
28,sse,sse,2328.36,2424.48,0.1,2
29,sse,crps,359.28,351.34,0.1,2
30,sse,dss,740.99,670.55,0.1,2
31,sse,is1,1361.28,1362.34,0.1,2
32,crps,sse,2198.48,2506.62,0.3,2
33,crps,crps,349.83,352.21,0.3,2
34,crps,dss,668.81,634.97,0.3,2
35,crps,is1,1389.65,1356.99,0.3,2
36,dss,sse,2372.85,2447.73,0.3,2
37,dss,crps,366.8,351.93,0.3,2
38,dss,dss,747.68,634.55,0.3,2
