,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,218.91,197.91,0.0,0
1,crps,crps,201.32,188.2,0.0,0
2,crps,dss,-471.89,-603.27,0.0,0
3,crps,is1,2662.54,2434.41,0.0,0
4,dss,sse,222.73,196.96,0.0,0
5,dss,crps,202.13,188.66,0.0,0
6,dss,dss,-346.42,-619.91,0.0,0
7,dss,is1,2661.82,2437.3,0.0,0
8,is1,sse,239.69,223.41,0.0,0
9,is1,crps,204.81,195.26,0.0,0
10,is1,dss,-592.4,-617.33,0.0,0
11,is1,is1,2661.51,2453.58,0.0,0
12,sse,sse,218.56,197.33,0.0,0
13,sse,crps,200.95,188.35,0.0,0
14,sse,dss,-478.41,-598.5,0.0,0
15,sse,is1,2658.74,2434.62,0.0,0
16,crps,sse,217.0,200.94,0.1,0
17,crps,crps,198.57,191.9,0.1,0
18,crps,dss,-496.34,-581.62,0.1,0
19,crps,is1,2651.5,2450.76,0.1,0
20,dss,sse,217.0,200.94,0.1,0
21,dss,crps,198.57,191.9,0.1,0
22,dss,dss,-496.34,-581.62,0.1,0
23,dss,is1,2651.5,2450.76,0.1,0
24,is1,sse,356.01,306.71,0.1,0
25,is1,crps,231.53,218.91,0.1,0
26,is1,dss,63.1,-29.03,0.1,0
27,is1,is1,2658.8,2476.33,0.1,0
28,sse,sse,314.93,233.1,0.1,0
29,sse,crps,231.78,204.01,0.1,0
30,sse,dss,-224.7,-426.06,0.1,0
31,sse,is1,2658.57,2452.61,0.1,0
32,crps,sse,812.32,788.36,0.3,0
33,crps,crps,410.98,402.29,0.3,0
34,crps,dss,375.34,390.28,0.3,0
35,crps,is1,3126.47,3043.49,0.3,0
36,dss,sse,812.32,788.36,0.3,0
37,dss,crps,410.98,402.29,0.3,0
38,dss,dss,375.34,390.28,0.3,0
39,dss,is1,3126.47,3043.49,0.3,0
40,is1,sse,577.51,594.46,0.3,0
41,is1,crps,281.14,283.56,0.3,0
42,is1,dss,285.89,247.79,0.3,0
43,is1,is1,2714.07,2547.06,0.3,0
44,sse,sse,812.32,788.36,0.3,0
45,sse,crps,410.98,402.29,0.3,0
46,sse,dss,375.34,390.28,0.3,0
47,sse,is1,3126.47,3043.49,0.3,0
48,crps,sse,812.32,788.36,0.5,0
49,crps,crps,410.98,402.29,0.5,0
