,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,89.1,131.71,0.0,0
1,crps,crps,94.12,101.34,0.0,0
2,crps,dss,-327.48,-296.88,0.0,0
3,crps,is1,1241.97,1217.01,0.0,0
4,dss,sse,89.06,115.39,0.0,0
5,dss,crps,96.41,106.23,0.0,0
6,dss,dss,-269.86,-201.13,0.0,0
7,dss,is1,1247.01,1236.76,0.0,0
8,is1,sse,90.21,139.36,0.0,0
9,is1,crps,93.98,102.9,0.0,0
10,is1,dss,-288.27,-247.58,0.0,0
11,is1,is1,1240.11,1212.14,0.0,0
12,sse,sse,90.92,130.62,0.0,0
13,sse,crps,94.01,101.57,0.0,0
14,sse,dss,-312.85,-287.26,0.0,0
15,sse,is1,1232.2,1219.92,0.0,0
16,crps,sse,88.19,143.96,0.1,0
17,crps,crps,91.37,106.39,0.1,0
18,crps,dss,-182.19,-87.97,0.1,0
19,crps,is1,1226.74,1226.35,0.1,0
20,dss,sse,88.49,115.7,0.1,0
21,dss,crps,94.05,107.37,0.1,0
22,dss,dss,-283.22,-190.42,0.1,0
23,dss,is1,1235.59,1243.96,0.1,0
24,is1,sse,88.19,143.96,0.1,0
25,is1,crps,91.37,106.39,0.1,0
26,is1,dss,-182.19,-87.97,0.1,0
27,is1,is1,1226.74,1226.35,0.1,0
28,sse,sse,88.19,143.96,0.1,0
29,sse,crps,91.37,106.39,0.1,0
30,sse,dss,-182.19,-87.97,0.1,0
31,sse,is1,1226.74,1226.35,0.1,0
32,crps,sse,359.79,405.46,0.3,0
33,crps,crps,194.12,205.53,0.3,0
34,crps,dss,326.84,396.82,0.3,0
35,crps,is1,1496.27,1459.22,0.3,0
36,dss,sse,344.18,348.81,0.3,0
37,dss,crps,190.6,194.33,0.3,0
38,dss,dss,147.84,167.71,0.3,0
39,dss,is1,1494.46,1451.7,0.3,0
40,is1,sse,359.79,405.46,0.3,0
41,is1,crps,194.12,205.53,0.3,0
42,is1,dss,326.84,396.82,0.3,0
43,is1,is1,1496.27,1459.22,0.3,0
44,sse,sse,359.79,405.46,0.3,0
45,sse,crps,194.12,205.53,0.3,0
46,sse,dss,326.84,396.82,0.3,0
47,sse,is1,1496.27,1459.22,0.3,0
48,crps,sse,359.79,405.46,0.5,0
49,crps,crps,194.12,205.53,0.5,0
50,crps,dss,326.84,396.82,0.5,0
51,crps,is1,1496.27,1459.22,0.5,0
52,dss,sse,483.34,528.59,0.5,0
53,dss,crps,223.69,235.6,0.5,0
54,dss,dss,284.02,333.65,0.5,0
55,dss,is1,1594.56,1583.35,0.5,0
56,is1,sse,359.79,405.46,0.5,0
57,is1,crps,194.12,205.53,0.5,0
58,is1,dss,326.84,396.82,0.5,0
59,is1,is1,1496.27,1459.22,0.5,0
60,sse,sse,359.79,405.46,0.5,0
61,sse,crps,194.12,205.53,0.5,0
62,sse,dss,326.84,396.82,0.5,0
63,sse,is1,1496.27,1459.22,0.5,0
64,crps,sse,359.79,405.46,0.8,0
65,crps,crps,194.12,205.53,0.8,0
66,crps,dss,326.84,396.82,0.8,0
67,crps,is1,1496.27,1459.22,0.8,0
68,dss,sse,483.34,528.59,0.8,0
69,dss,crps,223.69,235.6,0.8,0
70,dss,dss,284.02,333.65,0.8,0
71,dss,is1,1594.56,1583.35,0.8,0
72,is1,sse,359.79,405.46,0.8,0
73,is1,crps,194.12,205.53,0.8,0
74,is1,dss,326.84,396.82,0.8,0
75,is1,is1,1496.27,1459.22,0.8,0
76,sse,sse,359.79,405.46,0.8,0
77,sse,crps,194.12,205.53,0.8,0
78,sse,dss,326.84,396.82,0.8,0
79,sse,is1,1496.27,1459.22,0.8,0
0,crps,sse,143.47,132.64,0.0,1
1,crps,crps,110.61,101.29,0.0,1
2,crps,dss,-123.98,-315.1,0.0,1
3,crps,is1,1261.99,1210.09,0.0,1
4,dss,sse,152.98,121.81,0.0,1
5,dss,crps,111.08,104.38,0.0,1
6,dss,dss,-156.17,-249.56,0.0,1
7,dss,is1,1316.73,1243.29,0.0,1
8,is1,sse,141.73,137.88,0.0,1
9,is1,crps,109.37,107.29,0.0,1
10,is1,dss,-200.15,-195.76,0.0,1
11,is1,is1,1271.81,1214.19,0.0,1
12,sse,sse,144.36,131.56,0.0,1
13,sse,crps,110.06,102.18,0.0,1
14,sse,dss,-113.46,-305.11,0.0,1
15,sse,is1,1265.84,1205.91,0.0,1
16,crps,sse,142.7,133.14,0.1,1
17,crps,crps,108.36,103.59,0.1,1
18,crps,dss,-123.72,-294.07,0.1,1
19,crps,is1,1261.42,1213.29,0.1,1
20,dss,sse,152.38,122.08,0.1,1
21,dss,crps,110.24,105.3,0.1,1
22,dss,dss,-156.89,-243.5,0.1,1
23,dss,is1,1315.97,1244.34,0.1,1
24,is1,sse,195.87,225.18,0.1,1
25,is1,crps,124.19,133.77,0.1,1
26,is1,dss,103.81,112.72,0.1,1
27,is1,is1,1280.07,1237.76,0.1,1
28,sse,sse,142.7,133.14,0.1,1
29,sse,crps,108.36,103.59,0.1,1
30,sse,dss,-123.72,-294.07,0.1,1
31,sse,is1,1261.42,1213.29,0.1,1
32,crps,sse,411.2,430.86,0.3,1
33,crps,crps,203.83,212.69,0.3,1
34,crps,dss,409.04,429.59,0.3,1
35,crps,is1,1508.56,1457.55,0.3,1
36,dss,sse,152.18,122.13,0.3,1
37,dss,crps,109.42,106.32,0.3,1
38,dss,dss,-160.01,-229.56,0.3,1
39,dss,is1,1316.98,1245.68,0.3,1
40,is1,sse,411.2,430.86,0.3,1
41,is1,crps,203.83,212.69,0.3,1
42,is1,dss,409.04,429.59,0.3,1
43,is1,is1,1508.56,1457.55,0.3,1
44,sse,sse,411.2,430.86,0.3,1
45,sse,crps,203.83,212.69,0.3,1
46,sse,dss,409.04,429.59,0.3,1
47,sse,is1,1508.56,1457.55,0.3,1
48,crps,sse,411.2,430.86,0.5,1
49,crps,crps,203.83,212.69,0.5,1
50,crps,dss,409.04,429.59,0.5,1
51,crps,is1,1508.56,1457.55,0.5,1
52,dss,sse,528.7,483.68,0.5,1
53,dss,crps,233.25,226.03,0.5,1
54,dss,dss,311.59,307.17,0.5,1
55,dss,is1,1630.97,1548.45,0.5,1
56,is1,sse,411.2,430.86,0.5,1
57,is1,crps,203.83,212.69,0.5,1
58,is1,dss,409.04,429.59,0.5,1
59,is1,is1,1508.56,1457.55,0.5,1
60,sse,sse,411.2,430.86,0.5,1
61,sse,crps,203.83,212.69,0.5,1
62,sse,dss,409.04,429.59,0.5,1
63,sse,is1,1508.56,1457.55,0.5,1
64,crps,sse,411.2,430.86,0.8,1
65,crps,crps,203.83,212.69,0.8,1
66,crps,dss,409.04,429.59,0.8,1
67,crps,is1,1508.56,1457.55,0.8,1
68,dss,sse,528.7,483.68,0.8,1
69,dss,crps,233.25,226.03,0.8,1
70,dss,dss,311.59,307.17,0.8,1
71,dss,is1,1630.97,1548.45,0.8,1
72,is1,sse,411.2,430.86,0.8,1
73,is1,crps,203.83,212.69,0.8,1
74,is1,dss,409.04,429.59,0.8,1
75,is1,is1,1508.56,1457.55,0.8,1
76,sse,sse,411.2,430.86,0.8,1
77,sse,crps,203.83,212.69,0.8,1
78,sse,dss,409.04,429.59,0.8,1
79,sse,is1,1508.56,1457.55,0.8,1
0,crps,sse,114.0,89.42,0.0,2
1,crps,crps,105.91,95.3,0.0,2
2,crps,dss,-271.01,-306.39,0.0,2
