,Method,Metric,Train,Test,Threshold,Rep
52,dss,sse,13739.35,15672.38,0.5,1
53,dss,crps,1651.85,1702.38,0.5,1
54,dss,dss,2690.12,2710.19,0.5,1
55,dss,is1,9054.39,9549.38,0.5,1
56,is1,sse,11178.21,13515.31,0.5,1
57,is1,crps,1512.89,1593.04,0.5,1
58,is1,dss,2606.98,2709.94,0.5,1
59,is1,is1,8691.47,9234.19,0.5,1
60,sse,sse,11178.21,13515.31,0.5,1
61,sse,crps,1512.89,1593.04,0.5,1
62,sse,dss,2606.98,2709.94,0.5,1
63,sse,is1,8691.47,9234.19,0.5,1
64,crps,sse,11178.21,13515.31,0.8,1
65,crps,crps,1512.89,1593.04,0.8,1
66,crps,dss,2606.98,2709.94,0.8,1
67,crps,is1,8691.47,9234.19,0.8,1
68,dss,sse,17603.48,21177.85,0.8,1
69,dss,crps,1838.33,1951.75,0.8,1
70,dss,dss,2838.43,2918.7,0.8,1
71,dss,is1,9762.4,10562.68,0.8,1
72,is1,sse,11178.21,13515.31,0.8,1
73,is1,crps,1512.89,1593.04,0.8,1
74,is1,dss,2606.98,2709.94,0.8,1
75,is1,is1,8691.47,9234.19,0.8,1
76,sse,sse,11178.21,13515.31,0.8,1
77,sse,crps,1512.89,1593.04,0.8,1
78,sse,dss,2606.98,2709.94,0.8,1
79,sse,is1,8691.47,9234.19,0.8,1
0,crps,sse,11981.2,12745.43,0.0,2
1,crps,crps,1558.3,1539.22,0.0,2
2,crps,dss,2648.29,2581.31,0.0,2
3,crps,is1,8906.43,9020.12,0.0,2
4,dss,sse,11905.85,12963.95,0.0,2
5,dss,crps,1563.15,1553.88,0.0,2
6,dss,dss,2668.4,2574.46,0.0,2
7,dss,is1,8887.36,9068.41,0.0,2
8,is1,sse,11919.47,12982.67,0.0,2
9,is1,crps,1559.42,1552.16,0.0,2
10,is1,dss,2644.51,2586.75,0.0,2
11,is1,is1,8945.17,9013.8,0.0,2
12,sse,sse,12057.22,12720.84,0.0,2
13,sse,crps,1571.43,1535.51,0.0,2
14,sse,dss,2684.81,2570.06,0.0,2
15,sse,is1,8910.05,9031.47,0.0,2
16,crps,sse,11984.13,12919.33,0.1,2
17,crps,crps,1552.21,1560.11,0.1,2
18,crps,dss,2629.99,2611.73,0.1,2
19,crps,is1,8831.98,9097.2,0.1,2
20,dss,sse,12067.23,13087.26,0.1,2
21,dss,crps,1555.22,1570.41,0.1,2
22,dss,dss,2632.64,2615.77,0.1,2
23,dss,is1,8852.61,9103.95,0.1,2
24,is1,sse,12067.23,13087.26,0.1,2
25,is1,crps,1555.22,1570.41,0.1,2
26,is1,dss,2632.64,2615.77,0.1,2
27,is1,is1,8852.61,9103.95,0.1,2
28,sse,sse,11984.13,12919.33,0.1,2
29,sse,crps,1552.21,1560.11,0.1,2
30,sse,dss,2629.99,2611.73,0.1,2
31,sse,is1,8831.98,9097.2,0.1,2
32,crps,sse,11984.13,12919.33,0.3,2
33,crps,crps,1552.21,1560.11,0.3,2
34,crps,dss,2629.99,2611.73,0.3,2
35,crps,is1,8831.98,9097.2,0.3,2
36,dss,sse,12067.23,13087.26,0.3,2
37,dss,crps,1555.22,1570.41,0.3,2
38,dss,dss,2632.64,2615.77,0.3,2
39,dss,is1,8852.61,9103.95,0.3,2
40,is1,sse,12067.23,13087.26,0.3,2
41,is1,crps,1555.22,1570.41,0.3,2
42,is1,dss,2632.64,2615.77,0.3,2
43,is1,is1,8852.61,9103.95,0.3,2
44,sse,sse,11984.13,12919.33,0.3,2
45,sse,crps,1552.21,1560.11,0.3,2
46,sse,dss,2629.99,2611.73,0.3,2
47,sse,is1,8831.98,9097.2,0.3,2
48,crps,sse,11984.13,12919.33,0.5,2
49,crps,crps,1552.21,1560.11,0.5,2
50,crps,dss,2629.99,2611.73,0.5,2
51,crps,is1,8831.98,9097.2,0.5,2
52,dss,sse,13135.43,14287.88,0.5,2
53,dss,crps,1615.12,1639.26,0.5,2
54,dss,dss,2680.86,2673.33,0.5,2
55,dss,is1,9020.86,9311.92,0.5,2
56,is1,sse,12067.23,13087.26,0.5,2
57,is1,crps,1555.22,1570.41,0.5,2
58,is1,dss,2632.64,2615.77,0.5,2
59,is1,is1,8852.61,9103.95,0.5,2
60,sse,sse,11984.13,12919.33,0.5,2
61,sse,crps,1552.21,1560.11,0.5,2
62,sse,dss,2629.99,2611.73,0.5,2
63,sse,is1,8831.98,9097.2,0.5,2
64,crps,sse,11984.13,12919.33,0.8,2
65,crps,crps,1552.21,1560.11,0.8,2
66,crps,dss,2629.99,2611.73,0.8,2
67,crps,is1,8831.98,9097.2,0.8,2
68,dss,sse,17326.18,20968.68,0.8,2
69,dss,crps,1811.32,1950.56,0.8,2
70,dss,dss,2828.28,2901.16,0.8,2
71,dss,is1,9736.12,10479.1,0.8,2
72,is1,sse,13135.43,14287.88,0.8,2
73,is1,crps,1615.12,1639.26,0.8,2
74,is1,dss,2680.86,2673.33,0.8,2
75,is1,is1,9020.86,9311.92,0.8,2
76,sse,sse,11984.13,12919.33,0.8,2
77,sse,crps,1552.21,1560.11,0.8,2
78,sse,dss,2629.99,2611.73,0.8,2
79,sse,is1,8831.98,9097.2,0.8,2
0,crps,sse,11555.04,13231.44,0.0,3
1,crps,crps,1558.76,1548.73,0.0,3
2,crps,dss,2623.97,2600.79,0.0,3
3,crps,is1,8806.01,9114.09,0.0,3
4,dss,sse,11610.79,12824.04,0.0,3
5,dss,crps,1560.5,1529.53,0.0,3
6,dss,dss,2645.08,2573.48,0.0,3
7,dss,is1,8847.59,9021.31,0.0,3
8,is1,sse,11814.43,13034.05,0.0,3
9,is1,crps,1572.98,1541.4,0.0,3
10,is1,dss,2621.27,2594.36,0.0,3
11,is1,is1,8855.28,9026.52,0.0,3
12,sse,sse,11556.06,13213.86,0.0,3
13,sse,crps,1558.28,1547.29,0.0,3
14,sse,dss,2626.88,2603.35,0.0,3
15,sse,is1,8804.25,9108.17,0.0,3
16,crps,sse,11392.74,13410.7,0.1,3
17,crps,crps,1537.32,1572.96,0.1,3
18,crps,dss,2586.18,2639.44,0.1,3
19,crps,is1,8747.44,9173.55,0.1,3
20,dss,sse,12403.54,13987.52,0.1,3
21,dss,crps,1583.3,1604.12,0.1,3
22,dss,dss,2612.52,2652.79,0.1,3
23,dss,is1,8873.49,9205.77,0.1,3
24,is1,sse,11559.92,13452.59,0.1,3
25,is1,crps,1544.26,1581.04,0.1,3
26,is1,dss,2585.77,2637.94,0.1,3
27,is1,is1,8768.6,9128.37,0.1,3
28,sse,sse,11392.74,13410.7,0.1,3
29,sse,crps,1537.32,1572.96,0.1,3
30,sse,dss,2586.18,2639.44,0.1,3
31,sse,is1,8747.44,9173.55,0.1,3
32,crps,sse,11566.34,13854.35,0.3,3
33,crps,crps,1540.64,1601.47,0.3,3
34,crps,dss,2595.94,2663.63,0.3,3
35,crps,is1,8763.35,9218.87,0.3,3
36,dss,sse,12403.54,13987.52,0.3,3
37,dss,crps,1583.3,1604.12,0.3,3
38,dss,dss,2612.52,2652.79,0.3,3
39,dss,is1,8873.49,9205.77,0.3,3
40,is1,sse,12403.54,13987.52,0.3,3
41,is1,crps,1583.3,1604.12,0.3,3
42,is1,dss,2612.52,2652.79,0.3,3
43,is1,is1,8873.49,9205.77,0.3,3
44,sse,sse,11566.34,13854.35,0.3,3
45,sse,crps,1540.64,1601.47,0.3,3
46,sse,dss,2595.94,2663.63,0.3,3
47,sse,is1,8763.35,9218.87,0.3,3
48,crps,sse,11566.34,13854.35,0.5,3
49,crps,crps,1540.64,1601.47,0.5,3
50,crps,dss,2595.94,2663.63,0.5,3
51,crps,is1,8763.35,9218.87,0.5,3
52,dss,sse,12403.54,13987.52,0.5,3
53,dss,crps,1583.3,1604.12,0.5,3
54,dss,dss,2612.52,2652.79,0.5,3
55,dss,is1,8873.49,9205.77,0.5,3
56,is1,sse,12403.54,13987.52,0.5,3
57,is1,crps,1583.3,1604.12,0.5,3
58,is1,dss,2612.52,2652.79,0.5,3
59,is1,is1,8873.49,9205.77,0.5,3
60,sse,sse,11566.34,13854.35,0.5,3
61,sse,crps,1540.64,1601.47,0.5,3
62,sse,dss,2595.94,2663.63,0.5,3
63,sse,is1,8763.35,9218.87,0.5,3
64,crps,sse,11566.34,13854.35,0.8,3
65,crps,crps,1540.64,1601.47,0.8,3
66,crps,dss,2595.94,2663.63,0.8,3
67,crps,is1,8763.35,9218.87,0.8,3
68,dss,sse,18652.6,19241.72,0.8,3
69,dss,crps,1879.04,1851.62,0.8,3
70,dss,dss,2834.73,2834.48,0.8,3
71,dss,is1,9946.37,10070.42,0.8,3
72,is1,sse,12403.54,13987.52,0.8,3
73,is1,crps,1583.3,1604.12,0.8,3
74,is1,dss,2612.52,2652.79,0.8,3
75,is1,is1,8873.49,9205.77,0.8,3
76,sse,sse,11566.34,13854.35,0.8,3
77,sse,crps,1540.64,1601.47,0.8,3
78,sse,dss,2595.94,2663.63,0.8,3
79,sse,is1,8763.35,9218.87,0.8,3
0,crps,sse,13075.38,12217.9,0.0,4
1,crps,crps,1629.15,1512.94,0.0,4
2,crps,dss,2732.3,2543.46,0.0,4
3,crps,is1,9036.21,9010.49,0.0,4
4,dss,sse,12903.3,12343.12,0.0,4
5,dss,crps,1627.79,1510.26,0.0,4
6,dss,dss,2852.18,2509.02,0.0,4
7,dss,is1,9027.86,8942.5,0.0,4
8,is1,sse,13155.51,12202.72,0.0,4
9,is1,crps,1630.03,1511.55,0.0,4
10,is1,dss,2713.19,2548.05,0.0,4
11,is1,is1,9094.25,8986.98,0.0,4
12,sse,sse,12782.92,12467.98,0.0,4
13,sse,crps,1611.87,1528.94,0.0,4
14,sse,dss,2740.39,2558.88,0.0,4
15,sse,is1,9064.44,9023.52,0.0,4
16,crps,sse,13053.71,12251.96,0.1,4
17,crps,crps,1622.23,1522.14,0.1,4
18,crps,dss,2694.41,2566.0,0.1,4
19,crps,is1,9015.64,9042.46,0.1,4
20,dss,sse,12563.69,12485.04,0.1,4
21,dss,crps,1594.03,1535.28,0.1,4
22,dss,dss,2671.09,2559.52,0.1,4
23,dss,is1,8916.29,9020.08,0.1,4
24,is1,sse,12760.37,12451.58,0.1,4
25,is1,crps,1606.35,1531.91,0.1,4
26,is1,dss,2682.11,2574.74,0.1,4
27,is1,is1,9017.69,9060.34,0.1,4
28,sse,sse,12645.44,12506.24,0.1,4
