,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,20947.56,18547.86,0.0,0
1,crps,crps,1051.72,875.83,0.0,0
2,crps,dss,1078.79,949.98,0.0,0
3,crps,is1,6125.45,5298.16,0.0,0
4,dss,sse,26217.86,18679.04,0.0,0
5,dss,crps,1115.89,851.33,0.0,0
6,dss,dss,1077.02,917.85,0.0,0
7,dss,is1,6044.86,5098.07,0.0,0
8,is1,sse,25842.77,18965.21,0.0,0
9,is1,crps,1103.84,859.02,0.0,0
10,is1,dss,1070.83,922.0,0.0,0
11,is1,is1,6087.14,5070.79,0.0,0
12,sse,sse,21673.19,18086.0,0.0,0
13,sse,crps,1074.43,857.9,0.0,0
14,sse,dss,1091.17,948.52,0.0,0
15,sse,is1,6242.47,5285.41,0.0,0
16,crps,sse,20926.58,18592.9,0.1,0
17,crps,crps,1036.36,884.05,0.1,0
18,crps,dss,1047.71,958.67,0.1,0
19,crps,is1,6068.1,5318.17,0.1,0
20,dss,sse,26002.95,18803.7,0.1,0
21,dss,crps,1091.72,868.1,0.1,0
22,dss,dss,1034.9,934.63,0.1,0
23,dss,is1,5948.7,5143.08,0.1,0
24,is1,sse,25645.8,19131.11,0.1,0
25,is1,crps,1073.96,881.08,0.1,0
26,is1,dss,1027.86,939.14,0.1,0
27,is1,is1,5971.98,5151.56,0.1,0
28,sse,sse,22678.9,19513.83,0.1,0
29,sse,crps,1116.32,929.73,0.1,0
30,sse,dss,1153.17,1074.24,0.1,0
31,sse,is1,6449.2,5557.43,0.1,0
32,crps,sse,22304.95,19921.04,0.3,0
33,crps,crps,1094.56,946.56,0.3,0
34,crps,dss,1145.92,1078.6,0.3,0
35,crps,is1,6298.1,5557.43,0.3,0
36,dss,sse,24578.85,19293.79,0.3,0
37,dss,crps,1070.1,905.07,0.3,0
38,dss,dss,1037.63,953.52,0.3,0
39,dss,is1,5901.33,5300.25,0.3,0
40,is1,sse,25554.54,19917.11,0.3,0
41,is1,crps,1121.36,950.9,0.3,0
42,is1,dss,1098.79,996.17,0.3,0
43,is1,is1,6123.46,5459.97,0.3,0
44,sse,sse,21843.67,20687.51,0.3,0
45,sse,crps,1079.42,972.78,0.3,0
46,sse,dss,1142.18,1093.01,0.3,0
47,sse,is1,6242.95,5732.56,0.3,0
48,crps,sse,21843.67,20687.51,0.5,0
49,crps,crps,1079.42,972.78,0.5,0
50,crps,dss,1142.18,1093.01,0.5,0
51,crps,is1,6242.95,5732.56,0.5,0
52,dss,sse,25554.54,19917.11,0.5,0
53,dss,crps,1121.36,950.9,0.5,0
54,dss,dss,1098.79,996.17,0.5,0
55,dss,is1,6123.46,5459.97,0.5,0
56,is1,sse,25554.54,19917.11,0.5,0
57,is1,crps,1121.36,950.9,0.5,0
58,is1,dss,1098.79,996.17,0.5,0
59,is1,is1,6123.46,5459.97,0.5,0
60,sse,sse,21843.67,20687.51,0.5,0
61,sse,crps,1079.42,972.78,0.5,0
62,sse,dss,1142.18,1093.01,0.5,0
63,sse,is1,6242.95,5732.56,0.5,0
64,crps,sse,21843.67,20687.51,0.8,0
65,crps,crps,1079.42,972.78,0.8,0
66,crps,dss,1142.18,1093.01,0.8,0
67,crps,is1,6242.95,5732.56,0.8,0
68,dss,sse,25554.54,19917.11,0.8,0
69,dss,crps,1121.36,950.9,0.8,0
70,dss,dss,1098.79,996.17,0.8,0
71,dss,is1,6123.46,5459.97,0.8,0
72,is1,sse,25554.54,19917.11,0.8,0
73,is1,crps,1121.36,950.9,0.8,0
74,is1,dss,1098.79,996.17,0.8,0
75,is1,is1,6123.46,5459.97,0.8,0
76,sse,sse,21843.67,20687.51,0.8,0
77,sse,crps,1079.42,972.78,0.8,0
78,sse,dss,1142.18,1093.01,0.8,0
79,sse,is1,6242.95,5732.56,0.8,0
0,crps,sse,28079.53,18411.35,0.0,1
1,crps,crps,1115.11,878.97,0.0,1
2,crps,dss,1036.92,940.5,0.0,1
3,crps,is1,6277.94,5039.9,0.0,1
4,dss,sse,28277.46,15625.6,0.0,1
5,dss,crps,1169.66,825.02,0.0,1
6,dss,dss,1767.49,917.85,0.0,1
7,dss,is1,6659.32,4837.73,0.0,1
8,is1,sse,28341.23,15693.76,0.0,1
9,is1,crps,1164.42,829.43,0.0,1
10,is1,dss,1776.09,920.67,0.0,1
11,is1,is1,6635.33,4821.56,0.0,1
12,sse,sse,28825.87,18015.94,0.0,1
13,sse,crps,1134.05,877.31,0.0,1
14,sse,dss,1055.44,938.41,0.0,1
15,sse,is1,6353.11,5014.31,0.0,1
16,crps,sse,28044.19,18593.33,0.1,1
17,crps,crps,1108.96,897.87,0.1,1
18,crps,dss,1034.32,952.21,0.1,1
19,crps,is1,6266.72,5097.75,0.1,1
20,dss,sse,27658.37,16123.48,0.1,1
21,dss,crps,1136.7,854.08,0.1,1
22,dss,dss,1700.43,932.49,0.1,1
23,dss,is1,6578.8,4950.46,0.1,1
24,is1,sse,27539.3,16011.28,0.1,1
25,is1,crps,1135.95,851.5,0.1,1
26,is1,dss,1676.03,935.89,0.1,1
27,is1,is1,6531.46,4918.12,0.1,1
28,sse,sse,29262.52,18905.14,0.1,1
29,sse,crps,1166.23,939.03,0.1,1
30,sse,dss,1092.97,996.08,0.1,1
31,sse,is1,6493.75,5241.01,0.1,1
32,crps,sse,28661.15,19714.62,0.3,1
