,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,3834.63,2464.61,0.0,0
1,crps,crps,416.84,323.19,0.0,0
2,crps,dss,639.43,568.59,0.0,0
3,crps,is1,2535.99,2111.36,0.0,0
4,dss,sse,4037.99,2480.55,0.0,0
5,dss,crps,430.47,329.65,0.0,0
6,dss,dss,656.84,584.65,0.0,0
7,dss,is1,2610.58,2124.39,0.0,0
8,is1,sse,3965.99,2503.36,0.0,0
9,is1,crps,432.11,335.54,0.0,0
10,is1,dss,682.98,603.42,0.0,0
11,is1,is1,2642.89,2108.4,0.0,0
12,sse,sse,4034.44,2458.06,0.0,0
13,sse,crps,430.8,327.01,0.0,0
14,sse,dss,679.83,599.91,0.0,0
15,sse,is1,2616.45,2118.6,0.0,0
16,crps,sse,3837.95,2466.18,0.1,0
17,crps,crps,417.37,324.01,0.1,0
18,crps,dss,642.19,572.3,0.1,0
19,crps,is1,2538.62,2116.24,0.1,0
20,dss,sse,3941.53,2524.79,0.1,0
21,dss,crps,422.23,334.48,0.1,0
22,dss,dss,659.67,587.62,0.1,0
23,dss,is1,2587.67,2134.83,0.1,0
24,is1,sse,3910.29,2602.54,0.1,0
25,is1,crps,434.94,362.77,0.1,0
26,is1,dss,753.19,662.2,0.1,0
27,is1,is1,2594.93,2152.06,0.1,0
28,sse,sse,3967.32,2586.27,0.1,0
29,sse,crps,438.18,361.89,0.1,0
30,sse,dss,754.9,661.73,0.1,0
31,sse,is1,2591.33,2155.79,0.1,0
32,crps,sse,4278.08,2682.7,0.3,0
33,crps,crps,454.36,367.4,0.3,0
34,crps,dss,846.54,690.3,0.3,0
35,crps,is1,2639.46,2177.51,0.3,0
36,dss,sse,3456.15,2633.74,0.3,0
37,dss,crps,391.62,344.87,0.3,0
38,dss,dss,647.33,605.29,0.3,0
39,dss,is1,2418.76,2168.62,0.3,0
40,is1,sse,3376.36,2721.22,0.3,0
41,is1,crps,402.99,372.09,0.3,0
42,is1,dss,737.61,665.78,0.3,0
43,is1,is1,2395.9,2185.18,0.3,0
44,sse,sse,3859.26,2618.16,0.3,0
45,sse,crps,431.47,364.4,0.3,0
46,sse,dss,751.63,662.73,0.3,0
47,sse,is1,2569.31,2165.13,0.3,0
48,crps,sse,4063.85,2745.18,0.5,0
49,crps,crps,442.24,371.73,0.5,0
50,crps,dss,839.83,692.24,0.5,0
51,crps,is1,2606.52,2189.11,0.5,0
52,dss,sse,3376.36,2721.22,0.5,0
53,dss,crps,402.99,372.09,0.5,0
54,dss,dss,737.61,665.78,0.5,0
55,dss,is1,2395.9,2185.18,0.5,0
56,is1,sse,3376.36,2721.22,0.5,0
57,is1,crps,402.99,372.09,0.5,0
58,is1,dss,737.61,665.78,0.5,0
59,is1,is1,2395.9,2185.18,0.5,0
60,sse,sse,3376.36,2721.22,0.5,0
61,sse,crps,402.99,372.09,0.5,0
62,sse,dss,737.61,665.78,0.5,0
63,sse,is1,2395.9,2185.18,0.5,0
64,crps,sse,4063.85,2745.18,0.8,0
65,crps,crps,442.24,371.73,0.8,0
66,crps,dss,839.83,692.24,0.8,0
67,crps,is1,2606.52,2189.11,0.8,0
68,dss,sse,3376.36,2721.22,0.8,0
69,dss,crps,402.99,372.09,0.8,0
70,dss,dss,737.61,665.78,0.8,0
71,dss,is1,2395.9,2185.18,0.8,0
72,is1,sse,3376.36,2721.22,0.8,0
73,is1,crps,402.99,372.09,0.8,0
74,is1,dss,737.61,665.78,0.8,0
75,is1,is1,2395.9,2185.18,0.8,0
76,sse,sse,3376.36,2721.22,0.8,0
77,sse,crps,402.99,372.09,0.8,0
78,sse,dss,737.61,665.78,0.8,0
79,sse,is1,2395.9,2185.18,0.8,0
0,crps,sse,3116.24,2735.24,0.0,1
1,crps,crps,393.55,327.7,0.0,1
2,crps,dss,716.77,534.37,0.0,1
3,crps,is1,2512.53,2135.62,0.0,1
4,dss,sse,3121.33,2764.78,0.0,1
5,dss,crps,393.58,332.67,0.0,1
6,dss,dss,720.99,543.33,0.0,1
7,dss,is1,2525.67,2160.74,0.0,1
8,is1,sse,3165.4,2774.97,0.0,1
9,is1,crps,399.79,341.42,0.0,1
10,is1,dss,724.04,592.66,0.0,1
11,is1,is1,2495.56,2159.95,0.0,1
12,sse,sse,3126.57,2740.63,0.0,1
13,sse,crps,390.71,330.07,0.0,1
14,sse,dss,705.04,560.21,0.0,1
15,sse,is1,2487.37,2170.9,0.0,1
16,crps,sse,3124.22,2738.93,0.1,1
17,crps,crps,393.14,330.63,0.1,1
18,crps,dss,711.05,549.89,0.1,1
19,crps,is1,2520.18,2152.74,0.1,1
20,dss,sse,3161.98,2783.38,0.1,1
21,dss,crps,393.85,335.14,0.1,1
22,dss,dss,720.44,546.54,0.1,1
23,dss,is1,2501.12,2162.52,0.1,1
24,is1,sse,3148.41,2889.26,0.1,1
25,is1,crps,411.93,362.45,0.1,1
26,is1,dss,739.61,663.76,0.1,1
27,is1,is1,2469.66,2186.21,0.1,1
28,sse,sse,3097.22,2867.8,0.1,1
29,sse,crps,408.64,359.42,0.1,1
30,sse,dss,738.62,662.62,0.1,1
31,sse,is1,2464.07,2193.19,0.1,1
32,crps,sse,3097.22,2867.8,0.3,1
33,crps,crps,408.64,359.42,0.3,1
34,crps,dss,738.62,662.62,0.3,1
35,crps,is1,2464.07,2193.19,0.3,1
36,dss,sse,3055.42,2927.93,0.3,1
37,dss,crps,384.68,346.51,0.3,1
38,dss,dss,702.63,565.52,0.3,1
39,dss,is1,2359.87,2223.85,0.3,1
40,is1,sse,3138.79,2889.81,0.3,1
41,is1,crps,409.58,363.7,0.3,1
42,is1,dss,739.08,663.88,0.3,1
43,is1,is1,2449.86,2197.93,0.3,1
44,sse,sse,3138.79,2889.81,0.3,1
45,sse,crps,409.58,363.7,0.3,1
46,sse,dss,739.08,663.88,0.3,1
47,sse,is1,2449.86,2197.93,0.3,1
48,crps,sse,3138.79,2889.81,0.5,1
49,crps,crps,409.58,363.7,0.5,1
50,crps,dss,739.08,663.88,0.5,1
51,crps,is1,2449.86,2197.93,0.5,1
52,dss,sse,3029.74,3008.49,0.5,1
53,dss,crps,390.09,359.61,0.5,1
54,dss,dss,665.89,587.43,0.5,1
55,dss,is1,2335.89,2241.07,0.5,1
56,is1,sse,3028.38,3033.72,0.5,1
57,is1,crps,399.94,373.93,0.5,1
58,is1,dss,727.96,674.0,0.5,1
59,is1,is1,2305.41,2251.54,0.5,1
60,sse,sse,3028.38,3033.72,0.5,1
61,sse,crps,399.94,373.93,0.5,1
62,sse,dss,727.96,674.0,0.5,1
63,sse,is1,2305.41,2251.54,0.5,1
64,crps,sse,3028.38,3033.72,0.8,1
65,crps,crps,399.94,373.93,0.8,1
66,crps,dss,727.96,674.0,0.8,1
67,crps,is1,2305.41,2251.54,0.8,1
68,dss,sse,3028.38,3033.72,0.8,1
69,dss,crps,399.94,373.93,0.8,1
70,dss,dss,727.96,674.0,0.8,1
71,dss,is1,2305.41,2251.54,0.8,1
72,is1,sse,3028.38,3033.72,0.8,1
73,is1,crps,399.94,373.93,0.8,1
74,is1,dss,727.96,674.0,0.8,1
75,is1,is1,2305.41,2251.54,0.8,1
76,sse,sse,3028.38,3033.72,0.8,1
77,sse,crps,399.94,373.93,0.8,1
78,sse,dss,727.96,674.0,0.8,1
79,sse,is1,2305.41,2251.54,0.8,1
0,crps,sse,3358.71,2619.28,0.0,2
1,crps,crps,405.75,331.5,0.0,2
2,crps,dss,697.81,570.13,0.0,2
3,crps,is1,2454.52,2187.03,0.0,2
4,dss,sse,3343.28,2612.25,0.0,2
5,dss,crps,407.46,327.54,0.0,2
6,dss,dss,769.41,558.18,0.0,2
7,dss,is1,2443.73,2180.03,0.0,2
8,is1,sse,3341.57,2685.85,0.0,2
9,is1,crps,409.43,335.1,0.0,2
10,is1,dss,759.59,567.48,0.0,2
11,is1,is1,2469.5,2150.71,0.0,2
12,sse,sse,3356.05,2617.51,0.0,2
13,sse,crps,401.73,335.43,0.0,2
14,sse,dss,688.37,606.51,0.0,2
15,sse,is1,2424.5,2188.9,0.0,2
16,crps,sse,3353.37,2621.35,0.1,2
17,crps,crps,404.01,332.16,0.1,2
18,crps,dss,693.44,572.99,0.1,2
19,crps,is1,2451.18,2190.06,0.1,2
20,dss,sse,3343.28,2612.25,0.1,2
21,dss,crps,407.46,327.54,0.1,2
22,dss,dss,769.41,558.18,0.1,2
23,dss,is1,2443.73,2180.03,0.1,2
24,is1,sse,3312.67,2778.35,0.1,2
25,is1,crps,413.27,368.85,0.1,2
26,is1,dss,814.22,676.61,0.1,2
27,is1,is1,2393.49,2218.81,0.1,2
28,sse,sse,3338.34,2753.48,0.1,2
29,sse,crps,411.51,370.16,0.1,2
30,sse,dss,741.71,681.55,0.1,2
31,sse,is1,2407.66,2234.2,0.1,2
32,crps,sse,3338.34,2753.48,0.3,2
33,crps,crps,411.51,370.16,0.3,2
34,crps,dss,741.71,681.55,0.3,2
35,crps,is1,2407.66,2234.2,0.3,2
36,dss,sse,3310.97,2640.11,0.3,2
37,dss,crps,403.43,333.13,0.3,2
38,dss,dss,757.5,572.55,0.3,2
39,dss,is1,2445.07,2200.88,0.3,2
40,is1,sse,3293.33,2780.41,0.3,2
41,is1,crps,407.3,371.96,0.3,2
42,is1,dss,723.18,684.93,0.3,2
43,is1,is1,2379.73,2229.96,0.3,2
44,sse,sse,3338.34,2753.48,0.3,2
45,sse,crps,411.51,370.16,0.3,2
46,sse,dss,741.71,681.55,0.3,2
47,sse,is1,2407.66,2234.2,0.3,2
48,crps,sse,3338.34,2753.48,0.5,2
49,crps,crps,411.51,370.16,0.5,2
50,crps,dss,741.71,681.55,0.5,2
51,crps,is1,2407.66,2234.2,0.5,2
52,dss,sse,3347.1,2771.72,0.5,2
53,dss,crps,404.35,342.17,0.5,2
54,dss,dss,761.08,588.62,0.5,2
55,dss,is1,2393.32,2240.77,0.5,2
56,is1,sse,3293.33,2780.41,0.5,2
57,is1,crps,407.3,371.96,0.5,2
58,is1,dss,723.18,684.93,0.5,2
59,is1,is1,2379.73,2229.96,0.5,2
60,sse,sse,3312.41,2839.54,0.5,2
61,sse,crps,403.06,379.05,0.5,2
62,sse,dss,711.12,695.26,0.5,2
63,sse,is1,2365.28,2275.5,0.5,2
64,crps,sse,3312.41,2839.54,0.8,2
65,crps,crps,403.06,379.05,0.8,2
66,crps,dss,711.12,695.26,0.8,2
67,crps,is1,2365.28,2275.5,0.8,2
68,dss,sse,3312.41,2839.54,0.8,2
69,dss,crps,403.06,379.05,0.8,2
70,dss,dss,711.12,695.26,0.8,2
71,dss,is1,2365.28,2275.5,0.8,2
72,is1,sse,3312.41,2839.54,0.8,2
73,is1,crps,403.06,379.05,0.8,2
74,is1,dss,711.12,695.26,0.8,2
75,is1,is1,2365.28,2275.5,0.8,2
76,sse,sse,3312.41,2839.54,0.8,2
77,sse,crps,403.06,379.05,0.8,2
78,sse,dss,711.12,695.26,0.8,2
79,sse,is1,2365.28,2275.5,0.8,2
0,crps,sse,3428.64,2831.15,0.0,3
1,crps,crps,401.47,345.83,0.0,3
2,crps,dss,685.45,598.93,0.0,3
3,crps,is1,2513.9,2242.5,0.0,3
4,dss,sse,3730.53,2859.79,0.0,3
5,dss,crps,413.27,360.44,0.0,3
6,dss,dss,737.17,600.94,0.0,3
7,dss,is1,2452.21,2197.84,0.0,3
8,is1,sse,3960.34,2686.07,0.0,3
9,is1,crps,427.48,355.15,0.0,3
10,is1,dss,728.57,623.26,0.0,3
11,is1,is1,2396.99,2199.84,0.0,3
12,sse,sse,3815.34,2695.32,0.0,3
13,sse,crps,420.02,339.68,0.0,3
14,sse,dss,736.54,593.18,0.0,3
15,sse,is1,2456.44,2200.03,0.0,3
16,crps,sse,3421.72,2834.95,0.1,3
17,crps,crps,399.17,347.79,0.1,3
18,crps,dss,676.77,605.01,0.1,3
19,crps,is1,2507.3,2252.69,0.1,3
20,dss,sse,3731.98,2862.3,0.1,3
21,dss,crps,411.85,362.65,0.1,3
22,dss,dss,737.81,601.49,0.1,3
23,dss,is1,2448.05,2200.31,0.1,3
24,is1,sse,3355.27,2989.1,0.1,3
25,is1,crps,399.08,388.46,0.1,3
26,is1,dss,725.0,717.3,0.1,3
27,is1,is1,2321.94,2306.33,0.1,3
28,sse,sse,3355.27,2989.1,0.1,3
29,sse,crps,399.08,388.46,0.1,3
30,sse,dss,725.0,717.3,0.1,3
31,sse,is1,2321.94,2306.33,0.1,3
32,crps,sse,3100.46,3052.6,0.3,3
33,crps,crps,386.86,392.32,0.3,3
34,crps,dss,688.44,721.4,0.3,3
35,crps,is1,2284.2,2324.37,0.3,3
36,dss,sse,3722.39,2865.03,0.3,3
37,dss,crps,409.89,363.36,0.3,3
38,dss,dss,730.68,604.25,0.3,3
39,dss,is1,2432.18,2205.1,0.3,3
40,is1,sse,3100.46,3052.6,0.3,3
41,is1,crps,386.86,392.32,0.3,3
42,is1,dss,688.44,721.4,0.3,3
43,is1,is1,2284.2,2324.37,0.3,3
44,sse,sse,3100.46,3052.6,0.3,3
45,sse,crps,386.86,392.32,0.3,3
46,sse,dss,688.44,721.4,0.3,3
47,sse,is1,2284.2,2324.37,0.3,3
48,crps,sse,3100.46,3052.6,0.5,3
49,crps,crps,386.86,392.32,0.5,3
50,crps,dss,688.44,721.4,0.5,3
51,crps,is1,2284.2,2324.37,0.5,3
52,dss,sse,3722.39,2865.03,0.5,3
53,dss,crps,409.89,363.36,0.5,3
54,dss,dss,730.68,604.25,0.5,3
55,dss,is1,2432.18,2205.1,0.5,3
56,is1,sse,3100.46,3052.6,0.5,3
57,is1,crps,386.86,392.32,0.5,3
58,is1,dss,688.44,721.4,0.5,3
59,is1,is1,2284.2,2324.37,0.5,3
60,sse,sse,3100.46,3052.6,0.5,3
61,sse,crps,386.86,392.32,0.5,3
62,sse,dss,688.44,721.4,0.5,3
63,sse,is1,2284.2,2324.37,0.5,3
64,crps,sse,3100.46,3052.6,0.8,3
65,crps,crps,386.86,392.32,0.8,3
66,crps,dss,688.44,721.4,0.8,3
67,crps,is1,2284.2,2324.37,0.8,3
68,dss,sse,3727.4,3051.2,0.8,3
69,dss,crps,408.47,386.39,0.8,3
70,dss,dss,712.8,669.27,0.8,3
71,dss,is1,2414.44,2370.73,0.8,3
72,is1,sse,3100.46,3052.6,0.8,3
73,is1,crps,386.86,392.32,0.8,3
74,is1,dss,688.44,721.4,0.8,3
75,is1,is1,2284.2,2324.37,0.8,3
76,sse,sse,3100.46,3052.6,0.8,3
77,sse,crps,386.86,392.32,0.8,3
78,sse,dss,688.44,721.4,0.8,3
79,sse,is1,2284.2,2324.37,0.8,3
0,crps,sse,3742.59,2581.02,0.0,4
1,crps,crps,427.28,329.07,0.0,4
2,crps,dss,667.2,581.35,0.0,4
3,crps,is1,2542.81,2155.67,0.0,4
4,dss,sse,3867.0,2645.44,0.0,4
5,dss,crps,435.35,327.94,0.0,4
6,dss,dss,816.5,543.96,0.0,4
7,dss,is1,2693.47,2125.66,0.0,4
8,is1,sse,3729.26,2631.49,0.0,4
9,is1,crps,424.82,341.29,0.0,4
10,is1,dss,711.51,612.79,0.0,4
11,is1,is1,2547.48,2134.58,0.0,4
12,sse,sse,3820.55,2553.26,0.0,4
13,sse,crps,436.16,329.23,0.0,4
14,sse,dss,666.31,586.95,0.0,4
15,sse,is1,2519.61,2154.08,0.0,4
16,crps,sse,3739.68,2585.2,0.1,4
17,crps,crps,426.04,330.95,0.1,4
18,crps,dss,649.91,588.97,0.1,4
19,crps,is1,2538.83,2165.88,0.1,4
20,dss,sse,3867.0,2645.44,0.1,4
21,dss,crps,435.35,327.94,0.1,4
22,dss,dss,816.5,543.96,0.1,4
23,dss,is1,2693.47,2125.66,0.1,4
24,is1,sse,3790.41,2708.23,0.1,4
25,is1,crps,434.42,364.98,0.1,4
26,is1,dss,767.91,685.59,0.1,4
27,is1,is1,2539.76,2182.17,0.1,4
28,sse,sse,3745.09,2669.55,0.1,4
29,sse,crps,432.47,363.14,0.1,4
30,sse,dss,720.23,691.87,0.1,4
31,sse,is1,2482.72,2191.64,0.1,4
32,crps,sse,3745.09,2669.55,0.3,4
33,crps,crps,432.47,363.14,0.3,4
34,crps,dss,720.23,691.87,0.3,4
35,crps,is1,2482.72,2191.64,0.3,4
36,dss,sse,3837.85,2716.27,0.3,4
37,dss,crps,429.32,338.11,0.3,4
38,dss,dss,808.91,565.01,0.3,4
39,dss,is1,2660.95,2187.29,0.3,4
40,is1,sse,3790.41,2708.23,0.3,4
41,is1,crps,434.42,364.98,0.3,4
42,is1,dss,767.91,685.59,0.3,4
43,is1,is1,2539.76,2182.17,0.3,4
44,sse,sse,3745.09,2669.55,0.3,4
45,sse,crps,432.47,363.14,0.3,4
46,sse,dss,720.23,691.87,0.3,4
47,sse,is1,2482.72,2191.64,0.3,4
48,crps,sse,3745.09,2669.55,0.5,4
49,crps,crps,432.47,363.14,0.5,4
50,crps,dss,720.23,691.87,0.5,4
51,crps,is1,2482.72,2191.64,0.5,4
52,dss,sse,3837.85,2716.27,0.5,4
53,dss,crps,429.32,338.11,0.5,4
54,dss,dss,808.91,565.01,0.5,4
55,dss,is1,2660.95,2187.29,0.5,4
56,is1,sse,3790.41,2708.23,0.5,4
57,is1,crps,434.42,364.98,0.5,4
58,is1,dss,767.91,685.59,0.5,4
59,is1,is1,2539.76,2182.17,0.5,4
60,sse,sse,3745.09,2669.55,0.5,4
61,sse,crps,432.47,363.14,0.5,4
62,sse,dss,720.23,691.87,0.5,4
63,sse,is1,2482.72,2191.64,0.5,4
64,crps,sse,3745.09,2669.55,0.8,4
65,crps,crps,432.47,363.14,0.8,4
66,crps,dss,720.23,691.87,0.8,4
67,crps,is1,2482.72,2191.64,0.8,4
68,dss,sse,3292.62,2858.73,0.8,4
69,dss,crps,393.35,348.92,0.8,4
70,dss,dss,647.65,581.1,0.8,4
71,dss,is1,2341.99,2238.43,0.8,4
72,is1,sse,3790.41,2708.23,0.8,4
73,is1,crps,434.42,364.98,0.8,4
74,is1,dss,767.91,685.59,0.8,4
75,is1,is1,2539.76,2182.17,0.8,4
76,sse,sse,3745.09,2669.55,0.8,4
77,sse,crps,432.47,363.14,0.8,4
78,sse,dss,720.23,691.87,0.8,4
79,sse,is1,2482.72,2191.64,0.8,4
0,crps,sse,3170.25,2930.69,0.0,5
1,crps,crps,401.91,329.21,0.0,5
2,crps,dss,725.99,525.39,0.0,5
3,crps,is1,2475.61,2105.75,0.0,5
4,dss,sse,3130.09,2930.45,0.0,5
5,dss,crps,396.34,333.43,0.0,5
6,dss,dss,708.98,538.81,0.0,5
7,dss,is1,2469.2,2150.91,0.0,5
8,is1,sse,3077.31,3052.67,0.0,5
9,is1,crps,408.69,357.87,0.0,5
10,is1,dss,705.3,644.4,0.0,5
11,is1,is1,2401.47,2171.08,0.0,5
12,sse,sse,3239.58,2979.83,0.0,5
13,sse,crps,404.68,343.79,0.0,5
14,sse,dss,701.43,586.43,0.0,5
15,sse,is1,2456.38,2159.3,0.0,5
16,crps,sse,3170.47,2931.22,0.1,5
17,crps,crps,401.88,329.58,0.1,5
18,crps,dss,723.13,528.51,0.1,5
19,crps,is1,2469.05,2107.67,0.1,5
20,dss,sse,3126.36,2942.16,0.1,5
21,dss,crps,393.84,337.84,0.1,5
22,dss,dss,707.78,542.95,0.1,5
23,dss,is1,2445.61,2155.82,0.1,5
24,is1,sse,3064.13,3073.74,0.1,5
25,is1,crps,408.14,367.69,0.1,5
26,is1,dss,702.15,708.3,0.1,5
27,is1,is1,2391.25,2179.98,0.1,5
28,sse,sse,3203.45,3154.79,0.1,5
29,sse,crps,412.91,382.71,0.1,5
30,sse,dss,710.35,719.83,0.1,5
31,sse,is1,2436.96,2265.79,0.1,5
32,crps,sse,3138.72,2957.74,0.3,5
33,crps,crps,394.01,336.37,0.3,5
34,crps,dss,676.13,543.8,0.3,5
35,crps,is1,2436.06,2137.39,0.3,5
36,dss,sse,3115.71,2946.8,0.3,5
37,dss,crps,390.66,339.91,0.3,5
38,dss,dss,669.25,553.15,0.3,5
39,dss,is1,2437.36,2161.92,0.3,5
40,is1,sse,3016.17,3167.8,0.3,5
41,is1,crps,400.32,379.92,0.3,5
42,is1,dss,682.6,722.68,0.3,5
43,is1,is1,2400.5,2244.16,0.3,5
44,sse,sse,3203.45,3154.79,0.3,5
45,sse,crps,412.91,382.71,0.3,5
46,sse,dss,710.35,719.83,0.3,5
47,sse,is1,2436.96,2265.79,0.3,5
48,crps,sse,3016.17,3167.8,0.5,5
49,crps,crps,400.32,379.92,0.5,5
50,crps,dss,682.6,722.68,0.5,5
51,crps,is1,2400.5,2244.16,0.5,5
52,dss,sse,3168.68,2984.51,0.5,5
53,dss,crps,402.84,349.75,0.5,5
54,dss,dss,679.78,569.21,0.5,5
55,dss,is1,2437.54,2165.79,0.5,5
56,is1,sse,3016.17,3167.8,0.5,5
57,is1,crps,400.32,379.92,0.5,5
58,is1,dss,682.6,722.68,0.5,5
59,is1,is1,2400.5,2244.16,0.5,5
60,sse,sse,3203.45,3154.79,0.5,5
61,sse,crps,412.91,382.71,0.5,5
62,sse,dss,710.35,719.83,0.5,5
63,sse,is1,2436.96,2265.79,0.5,5
64,crps,sse,3016.17,3167.8,0.8,5
65,crps,crps,400.32,379.92,0.8,5
66,crps,dss,682.6,722.68,0.8,5
67,crps,is1,2400.5,2244.16,0.8,5
68,dss,sse,4204.62,3924.48,0.8,5
69,dss,crps,457.27,419.27,0.8,5
70,dss,dss,734.64,684.69,0.8,5
71,dss,is1,2655.37,2508.89,0.8,5
72,is1,sse,3016.17,3167.8,0.8,5
73,is1,crps,400.32,379.92,0.8,5
74,is1,dss,682.6,722.68,0.8,5
75,is1,is1,2400.5,2244.16,0.8,5
76,sse,sse,3203.45,3154.79,0.8,5
77,sse,crps,412.91,382.71,0.8,5
78,sse,dss,710.35,719.83,0.8,5
79,sse,is1,2436.96,2265.79,0.8,5
0,crps,sse,2856.03,3270.12,0.0,6
1,crps,crps,382.89,355.5,0.0,6
2,crps,dss,672.11,594.67,0.0,6
