,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,5938.71,6114.22,0.0,0
1,crps,crps,792.28,769.1,0.0,0
2,crps,dss,1338.35,1282.33,0.0,0
3,crps,is1,4425.69,4390.97,0.0,0
4,dss,sse,5942.73,6206.2,0.0,0
5,dss,crps,789.03,776.69,0.0,0
6,dss,dss,1323.52,1286.99,0.0,0
7,dss,is1,4456.53,4437.14,0.0,0
8,is1,sse,5956.11,6125.85,0.0,0
9,is1,crps,790.53,773.3,0.0,0
10,is1,dss,1319.97,1295.52,0.0,0
11,is1,is1,4410.78,4400.72,0.0,0
12,sse,sse,6010.09,6016.56,0.0,0
13,sse,crps,802.62,757.82,0.0,0
14,sse,dss,1370.92,1268.29,0.0,0
15,sse,is1,4485.36,4332.21,0.0,0
16,crps,sse,5968.23,6164.63,0.1,0
17,crps,crps,785.42,783.43,0.1,0
18,crps,dss,1305.75,1303.42,0.1,0
19,crps,is1,4418.08,4433.41,0.1,0
20,dss,sse,6022.05,6456.53,0.1,0
21,dss,crps,780.07,801.47,0.1,0
22,dss,dss,1302.44,1315.62,0.1,0
23,dss,is1,4383.23,4492.85,0.1,0
24,is1,sse,6022.05,6456.53,0.1,0
25,is1,crps,780.07,801.47,0.1,0
26,is1,dss,1302.44,1315.62,0.1,0
27,is1,is1,4383.23,4492.85,0.1,0
28,sse,sse,5904.58,6232.39,0.1,0
29,sse,crps,775.38,791.68,0.1,0
30,sse,dss,1298.8,1309.64,0.1,0
31,sse,is1,4369.19,4477.08,0.1,0
32,crps,sse,5904.58,6232.39,0.3,0
33,crps,crps,775.38,791.68,0.3,0
34,crps,dss,1298.8,1309.64,0.3,0
35,crps,is1,4369.19,4477.08,0.3,0
36,dss,sse,6022.05,6456.53,0.3,0
37,dss,crps,780.07,801.47,0.3,0
38,dss,dss,1302.44,1315.62,0.3,0
39,dss,is1,4383.23,4492.85,0.3,0
40,is1,sse,6022.05,6456.53,0.3,0
41,is1,crps,780.07,801.47,0.3,0
42,is1,dss,1302.44,1315.62,0.3,0
43,is1,is1,4383.23,4492.85,0.3,0
44,sse,sse,5904.58,6232.39,0.3,0
45,sse,crps,775.38,791.68,0.3,0
46,sse,dss,1298.8,1309.64,0.3,0
47,sse,is1,4369.19,4477.08,0.3,0
48,crps,sse,6022.05,6456.53,0.5,0
49,crps,crps,780.07,801.47,0.5,0
50,crps,dss,1302.44,1315.62,0.5,0
51,crps,is1,4383.23,4492.85,0.5,0
52,dss,sse,6022.05,6456.53,0.5,0
53,dss,crps,780.07,801.47,0.5,0
54,dss,dss,1302.44,1315.62,0.5,0
55,dss,is1,4383.23,4492.85,0.5,0
56,is1,sse,6022.05,6456.53,0.5,0
57,is1,crps,780.07,801.47,0.5,0
58,is1,dss,1302.44,1315.62,0.5,0
59,is1,is1,4383.23,4492.85,0.5,0
60,sse,sse,5904.58,6232.39,0.5,0
61,sse,crps,775.38,791.68,0.5,0
62,sse,dss,1298.8,1309.64,0.5,0
63,sse,is1,4369.19,4477.08,0.5,0
64,crps,sse,6022.05,6456.53,0.8,0
65,crps,crps,780.07,801.47,0.8,0
66,crps,dss,1302.44,1315.62,0.8,0
67,crps,is1,4383.23,4492.85,0.8,0
68,dss,sse,10169.54,9886.94,0.8,0
69,dss,crps,970.35,964.06,0.8,0
70,dss,dss,1443.03,1430.84,0.8,0
71,dss,is1,5033.66,5078.86,0.8,0
72,is1,sse,6022.05,6456.53,0.8,0
73,is1,crps,780.07,801.47,0.8,0
74,is1,dss,1302.44,1315.62,0.8,0
75,is1,is1,4383.23,4492.85,0.8,0
76,sse,sse,6022.05,6456.53,0.8,0
77,sse,crps,780.07,801.47,0.8,0
78,sse,dss,1302.44,1315.62,0.8,0
79,sse,is1,4383.23,4492.85,0.8,0
0,crps,sse,7486.94,5652.4,0.0,1
1,crps,crps,861.3,747.54,0.0,1
2,crps,dss,1394.92,1260.93,0.0,1
3,crps,is1,4760.36,4208.2,0.0,1
4,dss,sse,7430.77,5681.37,0.0,1
5,dss,crps,860.32,749.26,0.0,1
6,dss,dss,1430.74,1252.98,0.0,1
7,dss,is1,4754.43,4208.74,0.0,1
8,is1,sse,8339.47,5787.9,0.0,1
9,is1,crps,889.06,764.27,0.0,1
10,is1,dss,1395.84,1284.25,0.0,1
11,is1,is1,4818.13,4191.33,0.0,1
12,sse,sse,7403.04,5620.36,0.0,1
13,sse,crps,845.72,748.08,0.0,1
14,sse,dss,1405.67,1261.89,0.0,1
15,sse,is1,4739.54,4197.03,0.0,1
16,crps,sse,7380.85,5785.77,0.1,1
17,crps,crps,844.22,771.21,0.1,1
18,crps,dss,1377.64,1291.47,0.1,1
19,crps,is1,4714.86,4239.9,0.1,1
20,dss,sse,7356.37,5793.18,0.1,1
21,dss,crps,839.69,773.16,0.1,1
22,dss,dss,1371.51,1293.37,0.1,1
23,dss,is1,4684.91,4252.62,0.1,1
24,is1,sse,8303.65,5846.58,0.1,1
25,is1,crps,885.26,774.8,0.1,1
26,is1,dss,1395.02,1296.06,0.1,1
27,is1,is1,4791.72,4226.18,0.1,1
28,sse,sse,7360.21,5767.91,0.1,1
29,sse,crps,836.82,771.24,0.1,1
30,sse,dss,1366.43,1292.01,0.1,1
31,sse,is1,4715.94,4247.63,0.1,1
32,crps,sse,7356.37,5793.18,0.3,1
33,crps,crps,839.69,773.16,0.3,1
34,crps,dss,1371.51,1293.37,0.3,1
35,crps,is1,4684.91,4252.62,0.3,1
36,dss,sse,6962.46,6413.04,0.3,1
37,dss,crps,824.53,802.44,0.3,1
38,dss,dss,1335.49,1316.57,0.3,1
39,dss,is1,4633.87,4356.85,0.3,1
40,is1,sse,8279.16,5853.99,0.3,1
41,is1,crps,880.74,776.74,0.3,1
42,is1,dss,1388.89,1297.95,0.3,1
