,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,11543.21,12954.97,0.0,0
1,crps,crps,1036.79,1016.34,0.0,0
2,crps,dss,1481.37,1424.39,0.0,0
3,crps,is1,4091.77,3931.93,0.0,0
4,dss,sse,11395.76,13340.89,0.0,0
5,dss,crps,1044.18,1028.83,0.0,0
6,dss,dss,1488.28,1375.37,0.0,0
7,dss,is1,4102.91,3951.14,0.0,0
8,is1,sse,11929.57,13559.37,0.0,0
9,is1,crps,1067.63,1037.59,0.0,0
10,is1,dss,1478.39,1450.33,0.0,0
11,is1,is1,4106.81,3928.47,0.0,0
12,sse,sse,11610.19,13261.29,0.0,0
13,sse,crps,1068.73,1066.79,0.0,0
14,sse,dss,1791.44,1646.64,0.0,0
15,sse,is1,4105.59,4296.32,0.0,0
16,crps,sse,11656.99,13265.75,0.1,0
17,crps,crps,1040.15,1035.54,0.1,0
18,crps,dss,1571.18,1568.32,0.1,0
19,crps,is1,4026.45,4011.46,0.1,0
20,dss,sse,11274.42,13999.96,0.1,0
21,dss,crps,1019.33,1075.55,0.1,0
22,dss,dss,1447.57,1419.62,0.1,0
23,dss,is1,3940.32,4172.71,0.1,0
24,is1,sse,13130.58,16182.28,0.1,0
25,is1,crps,1114.96,1199.17,0.1,0
26,is1,dss,1629.13,1730.46,0.1,0
27,is1,is1,3945.74,4232.88,0.1,0
28,sse,sse,11294.8,14291.33,0.1,0
29,sse,crps,1089.64,1168.35,0.1,0
30,sse,dss,1754.57,1824.37,0.1,0
31,sse,is1,4336.32,4558.41,0.1,0
32,crps,sse,11365.83,14092.73,0.3,0
33,crps,crps,1078.78,1124.89,0.3,0
34,crps,dss,1726.2,1730.07,0.3,0
35,crps,is1,4112.31,4287.43,0.3,0
36,dss,sse,11267.04,14003.74,0.3,0
37,dss,crps,1016.57,1077.52,0.3,0
38,dss,dss,1415.76,1437.96,0.3,0
39,dss,is1,3932.68,4185.8,0.3,0
40,is1,sse,13130.58,16182.28,0.3,0
41,is1,crps,1114.96,1199.17,0.3,0
42,is1,dss,1629.13,1730.46,0.3,0
43,is1,is1,3945.74,4232.88,0.3,0
44,sse,sse,11294.8,14291.33,0.3,0
45,sse,crps,1089.64,1168.35,0.3,0
46,sse,dss,1754.57,1824.37,0.3,0
47,sse,is1,4336.32,4558.41,0.3,0
48,crps,sse,12197.96,15025.58,0.5,0
49,crps,crps,1109.5,1167.39,0.5,0
50,crps,dss,1737.65,1796.38,0.5,0
51,crps,is1,4102.23,4289.57,0.5,0
52,dss,sse,13273.79,16449.11,0.5,0
53,dss,crps,1109.45,1184.8,0.5,0
54,dss,dss,1464.78,1518.08,0.5,0
55,dss,is1,3974.99,4236.07,0.5,0
56,is1,sse,13130.58,16182.28,0.5,0
57,is1,crps,1114.96,1199.17,0.5,0
58,is1,dss,1629.13,1730.46,0.5,0
59,is1,is1,3945.74,4232.88,0.5,0
60,sse,sse,11294.8,14291.33,0.5,0
61,sse,crps,1089.64,1168.35,0.5,0
62,sse,dss,1754.57,1824.37,0.5,0
63,sse,is1,4336.32,4558.41,0.5,0
64,crps,sse,12197.96,15025.58,0.8,0
65,crps,crps,1109.5,1167.39,0.8,0
66,crps,dss,1737.65,1796.38,0.8,0
67,crps,is1,4102.23,4289.57,0.8,0
68,dss,sse,13285.39,16539.75,0.8,0
69,dss,crps,1127.63,1211.17,0.8,0
70,dss,dss,1575.95,1630.19,0.8,0
71,dss,is1,3987.75,4237.5,0.8,0
72,is1,sse,13130.58,16182.28,0.8,0
73,is1,crps,1114.96,1199.17,0.8,0
74,is1,dss,1629.13,1730.46,0.8,0
75,is1,is1,3945.74,4232.88,0.8,0
76,sse,sse,11294.8,14291.33,0.8,0
77,sse,crps,1089.64,1168.35,0.8,0
78,sse,dss,1754.57,1824.37,0.8,0
79,sse,is1,4336.32,4558.41,0.8,0
0,crps,sse,12398.09,12645.26,0.0,1
1,crps,crps,1051.37,1019.16,0.0,1
2,crps,dss,1446.91,1380.44,0.0,1
3,crps,is1,3822.19,4099.29,0.0,1
4,dss,sse,12411.79,13418.99,0.0,1
5,dss,crps,1047.92,1044.65,0.0,1
6,dss,dss,1413.56,1377.34,0.0,1
7,dss,is1,3850.23,4240.43,0.0,1
8,is1,sse,12791.54,13993.61,0.0,1
9,is1,crps,1058.39,1080.04,0.0,1
10,is1,dss,1493.59,1426.21,0.0,1
11,is1,is1,3815.04,4195.33,0.0,1
12,sse,sse,12957.49,12686.25,0.0,1
13,sse,crps,1067.99,1033.99,0.0,1
14,sse,dss,1455.83,1422.53,0.0,1
15,sse,is1,3770.74,4190.51,0.0,1
16,crps,sse,12352.34,12719.81,0.1,1
17,crps,crps,1037.38,1032.84,0.1,1
18,crps,dss,1416.83,1426.59,0.1,1
