942045708.23,968247216.47,938234814.78,939399727.02,944824160.54
941847550.72,966606930.22,937559265.47,938061921.64,943858244.4
940605790.15,964105984.3,937211722.43,936798409.09,943145482.17
941181308.79,963706073.29,937730145.26,938418838.56,943687734.4
941076867.73,965514545.64,936268625.51,936755795.26,942627833.41
942255740.93,964926520.2,939372985.83,939981430.62,944918645.44
941213102.81,964472687.96,938778842.32,938631341.97,943941763.43
942386637.8,962843827.26,938578510.62,939641507.35,944441009.83
943882369.96,966522995.44,940035267.32,941010729.16,945667362.38
941527713.31,964010638.55,938130127.63,938589682.19,943341259.11
942575505.22,968541747.05,939378306.94,939384923.71,944242527.07
941871786.99,967117704.91,938410684.69,938269879.44,943954019.3
941441618.42,968094770.81,938835873.93,938837567.39,943630043.31
939807826.76,960466708.22,937692222.82,936625398.04,941833750.98
940864803.55,966572407.19,937883609.56,937140613.04,943010971.61
943068466.6,966155067.47,938750680.34,940585061.28,945231633.95
942122299.23,963002904.58,937200508.32,939035242.19,944148476.14
941423525.64,963715788.53,935832530.56,936845134.79,943489540.97
942769192.75,964476956.7,937208110.0,939051167.23,944209985.42
942753746.06,969451499.89,938667652.09,939392384.05,944930940.31
