,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,63.37,147.09,0.0,0
1,crps,crps,72.53,189.02,0.0,0
2,crps,dss,-471.69,-1102.87,0.0,0
3,crps,is1,295.17,762.38,0.0,0
4,dss,sse,63.27,147.48,0.0,0
5,dss,crps,72.87,189.27,0.0,0
6,dss,dss,-474.51,-1109.85,0.0,0
7,dss,is1,295.35,752.82,0.0,0
8,is1,sse,63.25,148.2,0.0,0
9,is1,crps,72.64,188.57,0.0,0
10,is1,dss,-469.78,-1091.28,0.0,0
11,is1,is1,293.78,757.95,0.0,0
12,sse,sse,62.92,151.41,0.0,0
13,sse,crps,74.36,193.73,0.0,0
14,sse,dss,-462.81,-1060.27,0.0,0
15,sse,is1,302.06,770.23,0.0,0
16,crps,sse,63.37,147.09,0.1,0
17,crps,crps,72.53,189.02,0.1,0
18,crps,dss,-471.69,-1102.87,0.1,0
19,crps,is1,295.17,762.38,0.1,0
20,dss,sse,63.71,146.38,0.1,0
21,dss,crps,74.22,187.38,0.1,0
22,dss,dss,-468.18,-1119.36,0.1,0
23,dss,is1,298.42,753.03,0.1,0
24,is1,sse,63.25,148.2,0.1,0
25,is1,crps,72.64,188.57,0.1,0
26,is1,dss,-469.78,-1091.28,0.1,0
27,is1,is1,293.78,757.95,0.1,0
28,sse,sse,62.99,151.24,0.1,0
29,sse,crps,74.53,193.21,0.1,0
30,sse,dss,-462.1,-1061.94,0.1,0
31,sse,is1,302.85,768.16,0.1,0
32,crps,sse,63.45,147.22,0.3,0
33,crps,crps,72.97,187.89,0.3,0
34,crps,dss,-470.56,-1104.05,0.3,0
35,crps,is1,296.48,756.51,0.3,0
36,dss,sse,64.33,144.72,0.3,0
37,dss,crps,74.8,185.8,0.3,0
38,dss,dss,-458.18,-1136.62,0.3,0
39,dss,is1,301.36,741.38,0.3,0
40,is1,sse,63.46,148.04,0.3,0
41,is1,crps,73.47,187.68,0.3,0
42,is1,dss,-466.33,-1090.65,0.3,0
43,is1,is1,297.83,754.92,0.3,0
44,sse,sse,63.8,148.2,0.3,0
45,sse,crps,75.51,190.35,0.3,0
46,sse,dss,-456.74,-1077.57,0.3,0
47,sse,is1,305.03,765.78,0.3,0
48,crps,sse,63.45,147.22,0.5,0
49,crps,crps,72.97,187.89,0.5,0
50,crps,dss,-470.56,-1104.05,0.5,0
51,crps,is1,296.48,756.51,0.5,0
52,dss,sse,64.5,145.86,0.5,0
53,dss,crps,75.51,187.26,0.5,0
54,dss,dss,-447.22,-1128.63,0.5,0
55,dss,is1,305.09,746.15,0.5,0
56,is1,sse,64.37,145.03,0.5,0
57,is1,crps,74.32,185.13,0.5,0
58,is1,dss,-453.99,-1121.28,0.5,0
59,is1,is1,301.8,741.59,0.5,0
60,sse,sse,64.5,146.37,0.5,0
61,sse,crps,76.17,188.67,0.5,0
62,sse,dss,-444.79,-1099.39,0.5,0
63,sse,is1,307.97,754.57,0.5,0
