,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,123.85,347.91,0.0,0
1,crps,crps,101.79,278.15,0.0,0
2,crps,dss,-244.02,-405.65,0.0,0
3,crps,is1,1200.17,3278.46,0.0,0
4,dss,sse,124.14,347.45,0.0,0
5,dss,crps,101.95,277.67,0.0,0
6,dss,dss,-244.94,-398.7,0.0,0
7,dss,is1,1199.53,3271.95,0.0,0
8,is1,sse,144.5,436.4,0.0,0
9,is1,crps,107.82,300.92,0.0,0
10,is1,dss,-201.74,-306.38,0.0,0
11,is1,is1,1226.19,3306.17,0.0,0
12,sse,sse,123.85,348.03,0.0,0
13,sse,crps,101.86,278.14,0.0,0
14,sse,dss,-244.05,-404.43,0.0,0
15,sse,is1,1200.39,3278.75,0.0,0
16,crps,sse,135.34,379.66,0.1,0
17,crps,crps,107.99,284.05,0.1,0
18,crps,dss,-169.56,-258.5,0.1,0
19,crps,is1,1204.69,3254.0,0.1,0
20,dss,sse,126.21,344.46,0.1,0
21,dss,crps,103.82,271.74,0.1,0
22,dss,dss,-235.16,-420.09,0.1,0
23,dss,is1,1204.69,3251.21,0.1,0
24,is1,sse,241.51,509.9,0.1,0
25,is1,crps,131.09,312.15,0.1,0
26,is1,dss,74.86,280.24,0.1,0
27,is1,is1,1233.71,3279.54,0.1,0
28,sse,sse,135.34,379.66,0.1,0
29,sse,crps,107.99,284.05,0.1,0
30,sse,dss,-169.56,-258.5,0.1,0
31,sse,is1,1204.69,3254.0,0.1,0
32,crps,sse,460.99,1307.77,0.3,0
33,crps,crps,222.43,586.34,0.3,0
34,crps,dss,290.79,784.53,0.3,0
35,crps,is1,1514.67,4060.92,0.3,0
36,dss,sse,460.99,1307.77,0.3,0
37,dss,crps,222.43,586.34,0.3,0
38,dss,dss,290.79,784.53,0.3,0
39,dss,is1,1514.67,4060.92,0.3,0
40,is1,sse,487.42,1135.89,0.3,0
41,is1,crps,225.51,544.56,0.3,0
42,is1,dss,475.53,1157.97,0.3,0
43,is1,is1,1454.55,3821.52,0.3,0
44,sse,sse,460.99,1307.77,0.3,0
45,sse,crps,222.43,586.34,0.3,0
46,sse,dss,290.79,784.53,0.3,0
47,sse,is1,1514.67,4060.92,0.3,0
48,crps,sse,460.99,1307.77,0.5,0
49,crps,crps,222.43,586.34,0.5,0
50,crps,dss,290.79,784.53,0.5,0
51,crps,is1,1514.67,4060.92,0.5,0
52,dss,sse,460.99,1307.77,0.5,0
53,dss,crps,222.43,586.34,0.5,0
54,dss,dss,290.79,784.53,0.5,0
55,dss,is1,1514.67,4060.92,0.5,0
56,is1,sse,487.42,1135.89,0.5,0
57,is1,crps,225.51,544.56,0.5,0
58,is1,dss,475.53,1157.97,0.5,0
59,is1,is1,1454.55,3821.52,0.5,0
60,sse,sse,460.99,1307.77,0.5,0
61,sse,crps,222.43,586.34,0.5,0
62,sse,dss,290.79,784.53,0.5,0
63,sse,is1,1514.67,4060.92,0.5,0
64,crps,sse,460.99,1307.77,0.8,0
65,crps,crps,222.43,586.34,0.8,0
66,crps,dss,290.79,784.53,0.8,0
67,crps,is1,1514.67,4060.92,0.8,0
68,dss,sse,460.99,1307.77,0.8,0
69,dss,crps,222.43,586.34,0.8,0
70,dss,dss,290.79,784.53,0.8,0
71,dss,is1,1514.67,4060.92,0.8,0
72,is1,sse,487.42,1135.89,0.8,0
73,is1,crps,225.51,544.56,0.8,0
74,is1,dss,475.53,1157.97,0.8,0
75,is1,is1,1454.55,3821.52,0.8,0
76,sse,sse,460.99,1307.77,0.8,0
77,sse,crps,222.43,586.34,0.8,0
78,sse,dss,290.79,784.53,0.8,0
79,sse,is1,1514.67,4060.92,0.8,0
0,crps,sse,157.76,559.96,0.0,1
1,crps,crps,108.12,338.99,0.0,1
2,crps,dss,-207.38,263.28,0.0,1
3,crps,is1,1259.39,3348.52,0.0,1
4,dss,sse,109.58,348.73,0.0,1
5,dss,crps,99.33,275.54,0.0,1
6,dss,dss,-286.35,-82.01,0.0,1
7,dss,is1,1269.63,3314.2,0.0,1
8,is1,sse,132.06,445.84,0.0,1
9,is1,crps,104.91,310.81,0.0,1
10,is1,dss,-207.97,-94.0,0.0,1
11,is1,is1,1252.62,3334.6,0.0,1
12,sse,sse,157.44,577.87,0.0,1
13,sse,crps,109.79,336.52,0.0,1
14,sse,dss,-234.03,-289.89,0.0,1
15,sse,is1,1264.26,3340.92,0.0,1
16,crps,sse,158.68,557.02,0.1,1
17,crps,crps,111.14,333.61,0.1,1
18,crps,dss,-176.72,-88.15,0.1,1
19,crps,is1,1268.77,3327.94,0.1,1
20,dss,sse,110.48,345.5,0.1,1
21,dss,crps,101.2,270.23,0.1,1
22,dss,dss,-263.36,-437.08,0.1,1
23,dss,is1,1276.64,3301.14,0.1,1
24,is1,sse,138.95,437.8,0.1,1
25,is1,crps,109.14,304.68,0.1,1
26,is1,dss,-166.95,-204.81,0.1,1
27,is1,is1,1268.51,3310.3,0.1,1
28,sse,sse,165.15,623.84,0.1,1
29,sse,crps,113.8,352.13,0.1,1
30,sse,dss,-173.69,43.69,0.1,1
31,sse,is1,1287.86,3407.05,0.1,1
32,crps,sse,469.53,1306.06,0.3,1
33,crps,crps,216.04,586.95,0.3,1
34,crps,dss,243.13,775.43,0.3,1
35,crps,is1,1582.24,4044.67,0.3,1
36,dss,sse,469.53,1306.06,0.3,1
37,dss,crps,216.04,586.95,0.3,1
38,dss,dss,243.13,775.43,0.3,1
39,dss,is1,1582.24,4044.67,0.3,1
40,is1,sse,246.0,973.71,0.3,1
41,is1,crps,134.38,428.88,0.3,1
42,is1,dss,151.46,777.48,0.3,1
43,is1,is1,1284.62,3401.39,0.3,1
44,sse,sse,469.53,1306.06,0.3,1
45,sse,crps,216.04,586.95,0.3,1
46,sse,dss,243.13,775.43,0.3,1
47,sse,is1,1582.24,4044.67,0.3,1
48,crps,sse,469.53,1306.06,0.5,1
49,crps,crps,216.04,586.95,0.5,1
50,crps,dss,243.13,775.43,0.5,1
51,crps,is1,1582.24,4044.67,0.5,1
52,dss,sse,469.53,1306.06,0.5,1
53,dss,crps,216.04,586.95,0.5,1
54,dss,dss,243.13,775.43,0.5,1
55,dss,is1,1582.24,4044.67,0.5,1
56,is1,sse,470.16,1532.8,0.5,1
57,is1,crps,216.76,635.22,0.5,1
58,is1,dss,464.39,1478.21,0.5,1
59,is1,is1,1521.39,3885.35,0.5,1
