,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,32.28,160.6,0.0,0
1,crps,crps,36.94,197.81,0.0,0
2,crps,dss,-230.26,-1026.89,0.0,0
3,crps,is1,158.41,823.18,0.0,0
4,dss,sse,32.64,155.61,0.0,0
5,dss,crps,36.72,197.27,0.0,0
6,dss,dss,-236.98,-1044.3,0.0,0
7,dss,is1,157.33,817.14,0.0,0
8,is1,sse,32.43,155.78,0.0,0
9,is1,crps,36.92,195.67,0.0,0
10,is1,dss,-230.93,-1069.89,0.0,0
11,is1,is1,154.19,797.64,0.0,0
12,sse,sse,32.02,163.13,0.0,0
13,sse,crps,37.11,200.4,0.0,0
14,sse,dss,-231.15,-1011.23,0.0,0
15,sse,is1,157.11,838.06,0.0,0
16,crps,sse,32.29,160.51,0.1,0
17,crps,crps,36.97,197.56,0.1,0
18,crps,dss,-230.19,-1027.8,0.1,0
19,crps,is1,158.7,821.56,0.1,0
20,dss,sse,32.9,154.5,0.1,0
21,dss,crps,37.12,195.73,0.1,0
22,dss,dss,-234.35,-1055.34,0.1,0
23,dss,is1,158.3,817.0,0.1,0
24,is1,sse,32.43,155.7,0.1,0
25,is1,crps,37.04,195.29,0.1,0
26,is1,dss,-230.86,-1070.68,0.1,0
27,is1,is1,154.71,796.73,0.1,0
28,sse,sse,32.04,162.92,0.1,0
29,sse,crps,37.21,199.96,0.1,0
30,sse,dss,-230.96,-1013.34,0.1,0
31,sse,is1,157.69,833.02,0.1,0
32,crps,sse,32.41,159.11,0.3,0
33,crps,crps,37.21,196.25,0.3,0
34,crps,dss,-228.95,-1041.77,0.3,0
35,crps,is1,159.75,820.35,0.3,0
36,dss,sse,35.38,150.17,0.3,0
37,dss,crps,41.09,195.99,0.3,0
38,dss,dss,-207.09,-1070.82,0.3,0
39,dss,is1,173.27,797.24,0.3,0
40,is1,sse,35.17,147.33,0.3,0
41,is1,crps,40.23,190.42,0.3,0
42,is1,dss,-203.41,-1052.14,0.3,0
43,is1,is1,167.91,778.49,0.3,0
44,sse,sse,32.16,161.51,0.3,0
45,sse,crps,37.37,198.79,0.3,0
46,sse,dss,-229.73,-1027.43,0.3,0
47,sse,is1,158.51,831.09,0.3,0
48,crps,sse,33.41,154.2,0.5,0
49,crps,crps,38.07,195.01,0.5,0
50,crps,dss,-224.72,-1047.6,0.5,0
51,crps,is1,160.1,812.63,0.5,0
52,dss,sse,36.02,149.52,0.5,0
53,dss,crps,42.41,198.42,0.5,0
54,dss,dss,-196.85,-1016.97,0.5,0
55,dss,is1,176.29,813.97,0.5,0
56,is1,sse,35.17,147.33,0.5,0
57,is1,crps,40.23,190.42,0.5,0
58,is1,dss,-203.41,-1052.14,0.5,0
59,is1,is1,167.91,778.49,0.5,0
60,sse,sse,32.16,161.51,0.5,0
61,sse,crps,37.37,198.79,0.5,0
62,sse,dss,-229.73,-1027.43,0.5,0
63,sse,is1,158.51,831.09,0.5,0
64,crps,sse,33.41,154.2,0.8,0
65,crps,crps,38.07,195.01,0.8,0
