,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,119.01,144.59,0.0,0
1,crps,crps,145.23,184.59,0.0,0
2,crps,dss,-925.09,-1147.93,0.0,0
3,crps,is1,584.73,743.4,0.0,0
4,dss,sse,118.64,145.17,0.0,0
5,dss,crps,145.08,184.14,0.0,0
6,dss,dss,-936.82,-1133.57,0.0,0
7,dss,is1,581.84,743.07,0.0,0
8,is1,sse,118.88,144.94,0.0,0
9,is1,crps,145.64,184.74,0.0,0
10,is1,dss,-933.91,-1136.56,0.0,0
11,is1,is1,581.8,746.29,0.0,0
12,sse,sse,118.16,145.47,0.0,0
13,sse,crps,145.6,187.07,0.0,0
14,sse,dss,-925.27,-1128.97,0.0,0
15,sse,is1,584.83,758.88,0.0,0
16,crps,sse,119.15,144.43,0.1,0
17,crps,crps,145.57,184.13,0.1,0
18,crps,dss,-923.71,-1149.54,0.1,0
19,crps,is1,586.56,741.09,0.1,0
20,dss,sse,119.27,144.44,0.1,0
21,dss,crps,146.66,183.73,0.1,0
22,dss,dss,-927.67,-1145.44,0.1,0
23,dss,is1,588.44,739.6,0.1,0
24,is1,sse,118.96,144.61,0.1,0
25,is1,crps,146.0,184.04,0.1,0
26,is1,dss,-930.77,-1143.78,0.1,0
27,is1,is1,584.47,741.52,0.1,0
28,sse,sse,118.95,144.93,0.1,0
29,sse,crps,147.21,186.51,0.1,0
30,sse,dss,-917.06,-1138.05,0.1,0
31,sse,is1,591.75,754.4,0.1,0
32,crps,sse,119.21,144.53,0.3,0
33,crps,crps,146.34,184.3,0.3,0
34,crps,dss,-920.34,-1153.17,0.3,0
35,crps,is1,588.64,741.25,0.3,0
36,dss,sse,121.97,145.99,0.3,0
37,dss,crps,153.95,191.13,0.3,0
38,dss,dss,-899.92,-1126.04,0.3,0
39,dss,is1,620.4,777.81,0.3,0
40,is1,sse,120.45,142.94,0.3,0
41,is1,crps,147.75,182.44,0.3,0
42,is1,dss,-904.65,-1159.87,0.3,0
43,is1,is1,594.77,731.07,0.3,0
44,sse,sse,118.95,144.93,0.3,0
45,sse,crps,147.21,186.51,0.3,0
46,sse,dss,-917.06,-1138.05,0.3,0
47,sse,is1,591.75,754.4,0.3,0
48,crps,sse,119.44,144.35,0.5,0
49,crps,crps,146.74,183.94,0.5,0
50,crps,dss,-917.6,-1155.52,0.5,0
51,crps,is1,592.24,736.24,0.5,0
52,dss,sse,124.84,147.05,0.5,0
53,dss,crps,162.06,195.94,0.5,0
54,dss,dss,-822.58,-1061.08,0.5,0
55,dss,is1,654.0,798.68,0.5,0
56,is1,sse,120.45,142.94,0.5,0
57,is1,crps,147.75,182.44,0.5,0
58,is1,dss,-904.65,-1159.87,0.5,0
59,is1,is1,594.77,731.07,0.5,0
60,sse,sse,122.74,144.52,0.5,0
61,sse,crps,155.43,187.68,0.5,0
62,sse,dss,-843.52,-1086.3,0.5,0
63,sse,is1,624.98,755.83,0.5,0
64,crps,sse,120.45,142.94,0.8,0
65,crps,crps,147.75,182.44,0.8,0
66,crps,dss,-904.65,-1159.87,0.8,0
67,crps,is1,594.77,731.07,0.8,0
68,dss,sse,124.84,147.05,0.8,0
69,dss,crps,162.06,195.94,0.8,0
70,dss,dss,-822.58,-1061.08,0.8,0
71,dss,is1,654.0,798.68,0.8,0
72,is1,sse,121.79,144.05,0.8,0
73,is1,crps,150.07,184.18,0.8,0
74,is1,dss,-887.28,-1140.92,0.8,0
75,is1,is1,604.08,738.91,0.8,0
76,sse,sse,122.74,144.52,0.8,0
77,sse,crps,155.43,187.68,0.8,0
78,sse,dss,-843.52,-1086.3,0.8,0
79,sse,is1,624.98,755.83,0.8,0
0,crps,sse,132.7,153.34,0.0,1
1,crps,crps,150.76,189.51,0.0,1
2,crps,dss,-860.86,-1048.85,0.0,1
3,crps,is1,591.64,771.48,0.0,1
4,dss,sse,130.32,156.74,0.0,1
5,dss,crps,150.91,189.19,0.0,1
6,dss,dss,-896.34,-1061.45,0.0,1
7,dss,is1,590.13,770.37,0.0,1
8,is1,sse,128.31,153.28,0.0,1
9,is1,crps,149.67,189.44,0.0,1
10,is1,dss,-893.58,-1031.2,0.0,1
11,is1,is1,581.86,780.11,0.0,1
12,sse,sse,127.67,152.6,0.0,1
13,sse,crps,151.15,188.09,0.0,1
14,sse,dss,-869.65,-1079.99,0.0,1
15,sse,is1,593.04,755.6,0.0,1
16,crps,sse,132.77,153.16,0.1,1
17,crps,crps,150.89,189.15,0.1,1
18,crps,dss,-860.18,-1050.65,0.1,1
19,crps,is1,592.13,769.61,0.1,1
20,dss,sse,130.88,155.55,0.1,1
21,dss,crps,151.69,187.52,0.1,1
22,dss,dss,-889.69,-1072.69,0.1,1
23,dss,is1,594.43,757.63,0.1,1
24,is1,sse,128.38,153.2,0.1,1
25,is1,crps,149.85,189.1,0.1,1
26,is1,dss,-892.9,-1032.08,0.1,1
27,is1,is1,582.93,779.19,0.1,1
28,sse,sse,127.8,153.47,0.1,1
29,sse,crps,152.66,190.07,0.1,1
30,sse,dss,-852.82,-1033.21,0.1,1
31,sse,is1,596.74,765.14,0.1,1
32,crps,sse,133.17,152.3,0.3,1
33,crps,crps,151.74,187.49,0.3,1
34,crps,dss,-853.66,-1061.74,0.3,1
35,crps,is1,594.59,761.37,0.3,1
36,dss,sse,136.97,148.77,0.3,1
37,dss,crps,161.12,193.24,0.3,1
38,dss,dss,-843.66,-1073.95,0.3,1
39,dss,is1,633.8,792.49,0.3,1
40,is1,sse,130.03,149.12,0.3,1
41,is1,crps,151.37,187.36,0.3,1
42,is1,dss,-857.73,-1063.14,0.3,1
43,is1,is1,587.78,763.05,0.3,1
44,sse,sse,128.69,152.19,0.3,1
45,sse,crps,153.59,189.01,0.3,1
46,sse,dss,-829.97,-1062.88,0.3,1
47,sse,is1,599.75,759.76,0.3,1
48,crps,sse,133.32,152.44,0.5,1
49,crps,crps,152.22,187.53,0.5,1
50,crps,dss,-849.88,-1062.61,0.5,1
51,crps,is1,594.81,761.87,0.5,1
52,dss,sse,138.55,146.35,0.5,1
53,dss,crps,162.09,192.33,0.5,1
54,dss,dss,-805.15,-1096.04,0.5,1
55,dss,is1,637.26,785.42,0.5,1
56,is1,sse,136.27,143.37,0.5,1
57,is1,crps,155.05,183.21,0.5,1
58,is1,dss,-827.96,-1125.77,0.5,1
59,is1,is1,603.61,737.91,0.5,1
60,sse,sse,129.8,149.3,0.5,1
61,sse,crps,154.18,188.12,0.5,1
62,sse,dss,-806.4,-1090.44,0.5,1
63,sse,is1,600.17,757.79,0.5,1
64,crps,sse,136.27,143.37,0.8,1
65,crps,crps,155.05,183.21,0.8,1
66,crps,dss,-827.96,-1125.77,0.8,1
67,crps,is1,603.61,737.91,0.8,1
68,dss,sse,139.29,146.66,0.8,1
69,dss,crps,166.92,194.83,0.8,1
70,dss,dss,-754.99,-1066.64,0.8,1
71,dss,is1,657.52,794.14,0.8,1
72,is1,sse,136.27,143.37,0.8,1
73,is1,crps,155.05,183.21,0.8,1
74,is1,dss,-827.96,-1125.77,0.8,1
75,is1,is1,603.61,737.91,0.8,1
76,sse,sse,133.85,154.29,0.8,1
77,sse,crps,164.16,200.55,0.8,1
78,sse,dss,-714.65,-997.02,0.8,1
79,sse,is1,642.75,826.34,0.8,1
0,crps,sse,119.75,152.51,0.0,2
1,crps,crps,141.53,186.99,0.0,2
2,crps,dss,-928.84,-1100.56,0.0,2
3,crps,is1,572.3,755.68,0.0,2
4,dss,sse,119.88,153.78,0.0,2
5,dss,crps,142.39,187.64,0.0,2
6,dss,dss,-938.04,-1075.34,0.0,2
7,dss,is1,566.8,765.23,0.0,2
8,is1,sse,120.36,151.96,0.0,2
9,is1,crps,142.99,186.64,0.0,2
10,is1,dss,-928.93,-1103.83,0.0,2
11,is1,is1,568.5,765.99,0.0,2
12,sse,sse,118.27,152.58,0.0,2
13,sse,crps,142.58,190.78,0.0,2
14,sse,dss,-927.5,-1053.37,0.0,2
15,sse,is1,568.81,766.53,0.0,2
16,crps,sse,119.9,152.36,0.1,2
17,crps,crps,141.89,186.58,0.1,2
18,crps,dss,-927.38,-1102.13,0.1,2
19,crps,is1,574.38,752.84,0.1,2
20,dss,sse,120.62,152.1,0.1,2
21,dss,crps,143.58,185.92,0.1,2
22,dss,dss,-930.01,-1091.54,0.1,2
23,dss,is1,572.88,757.58,0.1,2
24,is1,sse,120.36,151.96,0.1,2
25,is1,crps,142.99,186.64,0.1,2
26,is1,dss,-928.93,-1103.83,0.1,2
27,is1,is1,568.5,765.99,0.1,2
28,sse,sse,118.44,152.4,0.1,2
29,sse,crps,142.96,190.37,0.1,2
30,sse,dss,-925.83,-1055.16,0.1,2
31,sse,is1,571.31,764.25,0.1,2
32,crps,sse,120.38,151.08,0.3,2
33,crps,crps,142.68,184.75,0.3,2
34,crps,dss,-922.41,-1116.49,0.3,2
35,crps,is1,575.96,748.46,0.3,2
36,dss,sse,123.99,148.8,0.3,2
37,dss,crps,149.11,191.87,0.3,2
38,dss,dss,-908.44,-1093.45,0.3,2
39,dss,is1,603.62,789.54,0.3,2
40,is1,sse,120.72,151.34,0.3,2
41,is1,crps,143.71,185.48,0.3,2
42,is1,dss,-923.19,-1108.54,0.3,2
43,is1,is1,572.57,754.77,0.3,2
44,sse,sse,119.25,150.9,0.3,2
45,sse,crps,144.79,188.23,0.3,2
46,sse,dss,-907.71,-1083.23,0.3,2
47,sse,is1,577.3,756.66,0.3,2
48,crps,sse,120.63,150.69,0.5,2
49,crps,crps,142.93,184.34,0.5,2
50,crps,dss,-914.23,-1131.11,0.5,2
51,crps,is1,575.96,748.45,0.5,2
52,dss,sse,125.54,147.79,0.5,2
53,dss,crps,155.16,196.01,0.5,2
54,dss,dss,-825.23,-1064.74,0.5,2
55,dss,is1,625.49,804.73,0.5,2
56,is1,sse,121.56,150.12,0.5,2
57,is1,crps,144.44,184.62,0.5,2
58,is1,dss,-903.59,-1130.09,0.5,2
59,is1,is1,575.79,748.26,0.5,2
60,sse,sse,119.25,150.9,0.5,2
61,sse,crps,144.79,188.23,0.5,2
62,sse,dss,-907.71,-1083.23,0.5,2
63,sse,is1,577.3,756.66,0.5,2
64,crps,sse,121.41,149.37,0.8,2
65,crps,crps,143.97,183.12,0.8,2
66,crps,dss,-900.49,-1151.87,0.8,2
67,crps,is1,578.2,741.92,0.8,2
68,dss,sse,125.54,147.79,0.8,2
69,dss,crps,155.16,196.01,0.8,2
70,dss,dss,-825.23,-1064.74,0.8,2
71,dss,is1,625.49,804.73,0.8,2
72,is1,sse,121.56,150.12,0.8,2
73,is1,crps,144.44,184.62,0.8,2
74,is1,dss,-903.59,-1130.09,0.8,2
75,is1,is1,575.79,748.26,0.8,2
76,sse,sse,125.54,147.79,0.8,2
77,sse,crps,155.16,196.01,0.8,2
78,sse,dss,-825.23,-1064.74,0.8,2
79,sse,is1,625.49,804.73,0.8,2
0,crps,sse,115.38,146.71,0.0,3
1,crps,crps,144.72,185.19,0.0,3
2,crps,dss,-902.33,-1126.43,0.0,3
3,crps,is1,597.73,749.95,0.0,3
4,dss,sse,114.64,147.98,0.0,3
5,dss,crps,145.12,187.06,0.0,3
6,dss,dss,-929.66,-1105.9,0.0,3
7,dss,is1,592.58,762.37,0.0,3
8,is1,sse,114.13,149.65,0.0,3
9,is1,crps,144.24,187.33,0.0,3
10,is1,dss,-920.26,-1109.58,0.0,3
11,is1,is1,590.72,764.73,0.0,3
12,sse,sse,112.53,150.78,0.0,3
13,sse,crps,144.9,190.54,0.0,3
14,sse,dss,-914.31,-1074.25,0.0,3
15,sse,is1,595.37,782.47,0.0,3
16,crps,sse,115.38,146.71,0.1,3
17,crps,crps,144.72,185.19,0.1,3
18,crps,dss,-902.33,-1126.43,0.1,3
19,crps,is1,597.73,749.95,0.1,3
20,dss,sse,115.6,145.84,0.1,3
21,dss,crps,146.39,184.9,0.1,3
22,dss,dss,-920.01,-1127.3,0.1,3
23,dss,is1,597.2,752.0,0.1,3
24,is1,sse,114.34,148.53,0.1,3
25,is1,crps,144.68,187.94,0.1,3
26,is1,dss,-919.36,-1114.69,0.1,3
27,is1,is1,590.93,763.14,0.1,3
28,sse,sse,112.53,150.78,0.1,3
29,sse,crps,144.9,190.54,0.1,3
30,sse,dss,-914.31,-1074.25,0.1,3
31,sse,is1,595.37,782.47,0.1,3
32,crps,sse,116.21,145.83,0.3,3
33,crps,crps,145.97,183.75,0.3,3
34,crps,dss,-897.09,-1131.93,0.3,3
35,crps,is1,601.28,745.17,0.3,3
36,dss,sse,116.61,148.3,0.3,3
37,dss,crps,151.41,193.98,0.3,3
38,dss,dss,-904.53,-1097.82,0.3,3
39,dss,is1,621.71,795.92,0.3,3
40,is1,sse,114.88,147.13,0.3,3
41,is1,crps,145.71,186.24,0.3,3
42,is1,dss,-913.96,-1128.65,0.3,3
43,is1,is1,594.59,758.28,0.3,3
44,sse,sse,113.27,149.76,0.3,3
45,sse,crps,147.28,190.96,0.3,3
46,sse,dss,-885.19,-1056.91,0.3,3
47,sse,is1,604.44,788.45,0.3,3
48,crps,sse,117.19,143.31,0.5,3
49,crps,crps,147.24,181.18,0.5,3
50,crps,dss,-882.92,-1161.28,0.5,3
51,crps,is1,607.05,731.87,0.5,3
52,dss,sse,118.76,147.07,0.5,3
53,dss,crps,156.32,195.28,0.5,3
54,dss,dss,-837.93,-1067.83,0.5,3
55,dss,is1,646.74,796.05,0.5,3
56,is1,sse,114.96,147.32,0.5,3
57,is1,crps,146.0,186.01,0.5,3
58,is1,dss,-913.67,-1128.52,0.5,3
59,is1,is1,596.08,756.5,0.5,3
60,sse,sse,115.97,148.14,0.5,3
61,sse,crps,152.58,194.98,0.5,3
62,sse,dss,-849.94,-1071.78,0.5,3
63,sse,is1,627.12,806.93,0.5,3
64,crps,sse,117.19,143.31,0.8,3
65,crps,crps,147.24,181.18,0.8,3
66,crps,dss,-882.92,-1161.28,0.8,3
67,crps,is1,607.05,731.87,0.8,3
68,dss,sse,118.76,147.07,0.8,3
69,dss,crps,156.32,195.28,0.8,3
70,dss,dss,-837.93,-1067.83,0.8,3
71,dss,is1,646.74,796.05,0.8,3
72,is1,sse,116.46,144.28,0.8,3
73,is1,crps,147.78,183.83,0.8,3
74,is1,dss,-884.24,-1154.59,0.8,3
75,is1,is1,607.59,739.08,0.8,3
76,sse,sse,118.3,147.08,0.8,3
77,sse,crps,156.53,195.38,0.8,3
78,sse,dss,-822.71,-1055.38,0.8,3
79,sse,is1,646.53,798.59,0.8,3
0,crps,sse,117.01,149.0,0.0,4
1,crps,crps,142.57,184.85,0.0,4
2,crps,dss,-940.63,-1137.32,0.0,4
3,crps,is1,583.48,743.85,0.0,4
4,dss,sse,118.17,147.51,0.0,4
5,dss,crps,144.07,185.22,0.0,4
6,dss,dss,-972.2,-1107.55,0.0,4
7,dss,is1,581.8,748.75,0.0,4
8,is1,sse,117.96,149.56,0.0,4
9,is1,crps,143.1,184.89,0.0,4
10,is1,dss,-931.32,-1130.89,0.0,4
11,is1,is1,579.03,757.42,0.0,4
12,sse,sse,120.89,144.7,0.0,4
13,sse,crps,146.32,184.68,0.0,4
14,sse,dss,-918.13,-1139.16,0.0,4
15,sse,is1,593.01,739.86,0.0,4
16,crps,sse,117.02,149.01,0.1,4
17,crps,crps,142.66,184.7,0.1,4
18,crps,dss,-940.57,-1137.19,0.1,4
19,crps,is1,583.49,743.95,0.1,4
20,dss,sse,118.83,147.3,0.1,4
21,dss,crps,145.38,185.96,0.1,4
22,dss,dss,-965.54,-1110.26,0.1,4
23,dss,is1,586.71,755.55,0.1,4
24,is1,sse,117.96,149.56,0.1,4
25,is1,crps,143.14,184.86,0.1,4
26,is1,dss,-931.32,-1130.9,0.1,4
27,is1,is1,579.26,757.6,0.1,4
28,sse,sse,121.1,145.08,0.1,4
29,sse,crps,147.1,186.07,0.1,4
30,sse,dss,-916.04,-1135.29,0.1,4
31,sse,is1,595.97,751.06,0.1,4
