,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,69.45,406.41,0.0,0
1,crps,crps,50.86,300.72,0.0,0
2,crps,dss,-112.18,-72.3,0.0,0
3,crps,is1,597.87,3277.71,0.0,0
4,dss,sse,88.65,498.91,0.0,0
5,dss,crps,53.7,311.45,0.0,0
6,dss,dss,-150.03,-173.59,0.0,0
7,dss,is1,604.12,3298.14,0.0,0
8,is1,sse,76.12,438.67,0.0,0
9,is1,crps,53.52,313.66,0.0,0
10,is1,dss,-61.49,160.44,0.0,0
11,is1,is1,593.83,3293.28,0.0,0
12,sse,sse,69.45,406.41,0.0,0
13,sse,crps,50.86,300.72,0.0,0
14,sse,dss,-112.18,-72.3,0.0,0
15,sse,is1,597.87,3277.71,0.0,0
16,crps,sse,74.88,405.99,0.1,0
17,crps,crps,53.69,296.26,0.1,0
18,crps,dss,-23.99,118.72,0.1,0
19,crps,is1,599.3,3262.3,0.1,0
20,dss,sse,90.39,491.58,0.1,0
21,dss,crps,55.11,304.42,0.1,0
22,dss,dss,-141.49,-216.21,0.1,0
23,dss,is1,605.21,3281.51,0.1,0
24,is1,sse,78.73,434.73,0.1,0
25,is1,crps,55.31,306.27,0.1,0
26,is1,dss,-13.29,160.95,0.1,0
27,is1,is1,598.16,3276.13,0.1,0
28,sse,sse,74.88,405.99,0.1,0
29,sse,crps,53.69,296.26,0.1,0
30,sse,dss,-23.99,118.72,0.1,0
31,sse,is1,599.3,3262.3,0.1,0
0,crps,sse,76.6,522.39,0.0,1
1,crps,crps,52.71,315.84,0.0,1
2,crps,dss,-130.63,-54.16,0.0,1
3,crps,is1,642.99,3518.61,0.0,1
4,dss,sse,76.6,522.39,0.0,1
5,dss,crps,52.71,315.84,0.0,1
6,dss,dss,-130.63,-54.16,0.0,1
7,dss,is1,642.99,3518.61,0.0,1
8,is1,sse,74.25,575.42,0.0,1
9,is1,crps,51.97,338.01,0.0,1
10,is1,dss,-119.21,-143.51,0.0,1
11,is1,is1,630.55,3515.24,0.0,1
12,sse,sse,76.53,524.38,0.0,1
13,sse,crps,52.78,316.65,0.0,1
14,sse,dss,-122.55,-17.86,0.0,1
15,sse,is1,641.92,3518.85,0.0,1
16,crps,sse,84.39,570.66,0.1,1
17,crps,crps,55.5,321.02,0.1,1
18,crps,dss,-78.1,-88.31,0.1,1
19,crps,is1,651.26,3517.5,0.1,1
20,dss,sse,78.22,516.24,0.1,1
21,dss,crps,53.82,311.55,0.1,1
22,dss,dss,-113.62,-328.53,0.1,1
23,dss,is1,648.18,3491.13,0.1,1
24,is1,sse,76.68,586.8,0.1,1
25,is1,crps,53.65,338.13,0.1,1
26,is1,dss,-99.36,-59.13,0.1,1
27,is1,is1,636.45,3494.56,0.1,1
28,sse,sse,84.39,570.66,0.1,1
29,sse,crps,55.5,321.02,0.1,1
30,sse,dss,-78.1,-88.31,0.1,1
31,sse,is1,651.26,3517.5,0.1,1
0,crps,sse,70.12,465.53,0.0,2
1,crps,crps,50.96,313.19,0.0,2
2,crps,dss,-124.83,51.18,0.0,2
3,crps,is1,600.78,3341.67,0.0,2
4,dss,sse,75.22,448.7,0.0,2
5,dss,crps,51.02,299.63,0.0,2
6,dss,dss,-134.36,30.86,0.0,2
7,dss,is1,601.28,3289.99,0.0,2
8,is1,sse,78.68,529.45,0.0,2
9,is1,crps,54.42,336.74,0.0,2
10,is1,dss,-80.97,347.65,0.0,2
11,is1,is1,593.66,3361.27,0.0,2
12,sse,sse,73.88,497.94,0.0,2
13,sse,crps,52.95,323.02,0.0,2
14,sse,dss,-102.12,269.09,0.0,2
15,sse,is1,596.95,3329.77,0.0,2
16,crps,sse,82.02,462.15,0.1,2
17,crps,crps,56.39,302.78,0.1,2
18,crps,dss,13.23,411.95,0.1,2
19,crps,is1,610.78,3300.29,0.1,2
20,dss,sse,76.04,450.02,0.1,2
21,dss,crps,51.95,297.05,0.1,2
22,dss,dss,-124.37,-113.39,0.1,2
23,dss,is1,605.33,3287.88,0.1,2
24,is1,sse,82.76,530.7,0.1,2
25,is1,crps,57.0,329.16,0.1,2
26,is1,dss,8.07,527.03,0.1,2
27,is1,is1,602.89,3322.15,0.1,2
28,sse,sse,81.92,513.9,0.1,2
29,sse,crps,56.55,322.75,0.1,2
30,sse,dss,6.52,494.35,0.1,2
31,sse,is1,602.07,3318.56,0.1,2
0,crps,sse,65.57,473.41,0.0,3
1,crps,crps,48.73,326.08,0.0,3
2,crps,dss,-154.51,-106.38,0.0,3
3,crps,is1,647.95,3375.98,0.0,3
4,dss,sse,69.74,439.09,0.0,3
5,dss,crps,51.7,308.05,0.0,3
6,dss,dss,-138.26,-299.67,0.0,3
7,dss,is1,660.16,3298.01,0.0,3
8,is1,sse,66.72,468.42,0.0,3
9,is1,crps,49.25,323.28,0.0,3
10,is1,dss,-146.13,-170.67,0.0,3
11,is1,is1,645.88,3388.47,0.0,3
12,sse,sse,65.57,473.41,0.0,3
13,sse,crps,48.73,326.08,0.0,3
14,sse,dss,-154.51,-106.38,0.0,3
15,sse,is1,647.95,3375.98,0.0,3
16,crps,sse,76.3,497.35,0.1,3
17,crps,crps,53.53,321.39,0.1,3
18,crps,dss,-6.74,213.34,0.1,3
19,crps,is1,663.92,3368.18,0.1,3
20,dss,sse,70.92,435.35,0.1,3
21,dss,crps,52.66,303.55,0.1,3
