,Method,Metric,Train,Test,Threshold,Rep
57,is1,crps,825.22,532.46,0.5,1
58,is1,dss,811.95,575.0,0.5,1
59,is1,is1,6083.16,3890.55,0.5,1
60,sse,sse,1611.77,1081.22,0.5,1
61,sse,crps,825.22,532.46,0.5,1
62,sse,dss,811.95,575.0,0.5,1
63,sse,is1,6083.16,3890.55,0.5,1
64,crps,sse,1611.77,1081.22,0.8,1
65,crps,crps,825.22,532.46,0.8,1
66,crps,dss,811.95,575.0,0.8,1
67,crps,is1,6083.16,3890.55,0.8,1
68,dss,sse,1611.77,1081.22,0.8,1
69,dss,crps,825.22,532.46,0.8,1
70,dss,dss,811.95,575.0,0.8,1
71,dss,is1,6083.16,3890.55,0.8,1
72,is1,sse,1611.77,1081.22,0.8,1
73,is1,crps,825.22,532.46,0.8,1
74,is1,dss,811.95,575.0,0.8,1
75,is1,is1,6083.16,3890.55,0.8,1
76,sse,sse,1611.77,1081.22,0.8,1
77,sse,crps,825.22,532.46,0.8,1
78,sse,dss,811.95,575.0,0.8,1
79,sse,is1,6083.16,3890.55,0.8,1
0,crps,sse,531.93,328.57,0.0,2
1,crps,crps,418.45,263.99,0.0,2
2,crps,dss,-912.57,-470.7,0.0,2
3,crps,is1,5226.83,3284.31,0.0,2
4,dss,sse,551.72,370.99,0.0,2
5,dss,crps,421.93,275.27,0.0,2
6,dss,dss,-1020.26,-513.75,0.0,2
7,dss,is1,5152.69,3269.25,0.0,2
8,is1,sse,463.28,324.2,0.0,2
9,is1,crps,399.65,262.51,0.0,2
10,is1,dss,-628.1,-332.21,0.0,2
11,is1,is1,5063.94,3232.17,0.0,2
12,sse,sse,531.78,328.08,0.0,2
13,sse,crps,418.56,263.76,0.0,2
14,sse,dss,-915.57,-478.87,0.0,2
15,sse,is1,5225.34,3283.11,0.0,2
16,crps,sse,544.48,324.15,0.1,2
17,crps,crps,425.0,260.28,0.1,2
18,crps,dss,-770.57,-498.41,0.1,2
19,crps,is1,5247.76,3272.76,0.1,2
20,dss,sse,558.49,367.76,0.1,2
21,dss,crps,426.77,272.07,0.1,2
22,dss,dss,-967.62,-543.62,0.1,2
23,dss,is1,5173.69,3258.15,0.1,2
24,is1,sse,527.75,347.68,0.1,2
25,is1,crps,426.83,270.91,0.1,2
26,is1,dss,-251.71,-155.67,0.1,2
27,is1,is1,5097.36,3234.82,0.1,2
28,sse,sse,544.48,324.15,0.1,2
29,sse,crps,425.0,260.28,0.1,2
30,sse,dss,-770.57,-498.41,0.1,2
31,sse,is1,5247.76,3272.76,0.1,2
32,crps,sse,1747.59,1121.38,0.3,2
33,crps,crps,850.58,542.09,0.3,2
34,crps,dss,908.54,611.53,0.3,2
35,crps,is1,6232.7,3920.92,0.3,2
36,dss,sse,1747.59,1121.38,0.3,2
37,dss,crps,850.58,542.09,0.3,2
38,dss,dss,908.54,611.53,0.3,2
39,dss,is1,6232.7,3920.92,0.3,2
40,is1,sse,2071.33,1260.2,0.3,2
41,is1,crps,919.3,571.81,0.3,2
42,is1,dss,2004.41,1236.05,0.3,2
43,is1,is1,6104.68,3841.69,0.3,2
44,sse,sse,1747.59,1121.38,0.3,2
45,sse,crps,850.58,542.09,0.3,2
46,sse,dss,908.54,611.53,0.3,2
47,sse,is1,6232.7,3920.92,0.3,2
48,crps,sse,1747.59,1121.38,0.5,2
49,crps,crps,850.58,542.09,0.5,2
50,crps,dss,908.54,611.53,0.5,2
51,crps,is1,6232.7,3920.92,0.5,2
52,dss,sse,1747.59,1121.38,0.5,2
53,dss,crps,850.58,542.09,0.5,2
54,dss,dss,908.54,611.53,0.5,2
55,dss,is1,6232.7,3920.92,0.5,2
56,is1,sse,2071.33,1260.2,0.5,2
57,is1,crps,919.3,571.81,0.5,2
58,is1,dss,2004.41,1236.05,0.5,2
59,is1,is1,6104.68,3841.69,0.5,2
60,sse,sse,1747.59,1121.38,0.5,2
61,sse,crps,850.58,542.09,0.5,2
62,sse,dss,908.54,611.53,0.5,2
63,sse,is1,6232.7,3920.92,0.5,2
64,crps,sse,1747.59,1121.38,0.8,2
65,crps,crps,850.58,542.09,0.8,2
66,crps,dss,908.54,611.53,0.8,2
67,crps,is1,6232.7,3920.92,0.8,2
68,dss,sse,1747.59,1121.38,0.8,2
69,dss,crps,850.58,542.09,0.8,2
70,dss,dss,908.54,611.53,0.8,2
71,dss,is1,6232.7,3920.92,0.8,2
72,is1,sse,2071.33,1260.2,0.8,2
73,is1,crps,919.3,571.81,0.8,2
74,is1,dss,2004.41,1236.05,0.8,2
75,is1,is1,6104.68,3841.69,0.8,2
76,sse,sse,1747.59,1121.38,0.8,2
77,sse,crps,850.58,542.09,0.8,2
78,sse,dss,908.54,611.53,0.8,2
79,sse,is1,6232.7,3920.92,0.8,2
0,crps,sse,438.21,326.62,0.0,3
1,crps,crps,400.85,262.52,0.0,3
2,crps,dss,-947.43,-493.79,0.0,3
3,crps,is1,5215.32,3260.05,0.0,3
4,dss,sse,451.16,284.04,0.0,3
5,dss,crps,413.02,254.67,0.0,3
6,dss,dss,-1035.47,-584.93,0.0,3
7,dss,is1,5292.16,3235.61,0.0,3
8,is1,sse,496.35,341.91,0.0,3
9,is1,crps,423.78,272.53,0.0,3
10,is1,dss,-661.3,-258.86,0.0,3
11,is1,is1,5205.19,3239.63,0.0,3
12,sse,sse,450.56,284.16,0.0,3
13,sse,crps,412.78,254.49,0.0,3
14,sse,dss,-1020.76,-614.86,0.0,3
15,sse,is1,5294.95,3238.3,0.0,3
16,crps,sse,440.16,326.69,0.1,3
17,crps,crps,402.33,262.42,0.1,3
18,crps,dss,-932.08,-484.89,0.1,3
19,crps,is1,5218.23,3262.04,0.1,3
20,dss,sse,452.13,284.66,0.1,3
21,dss,crps,414.67,253.84,0.1,3
22,dss,dss,-1011.81,-626.21,0.1,3
23,dss,is1,5299.55,3235.29,0.1,3
24,is1,sse,772.05,496.4,0.1,3
25,is1,crps,499.87,314.12,0.1,3
26,is1,dss,375.23,236.13,0.1,3
27,is1,is1,5296.74,3279.14,0.1,3
28,sse,sse,452.13,284.66,0.1,3
29,sse,crps,414.67,253.84,0.1,3
30,sse,dss,-1011.81,-626.21,0.1,3
31,sse,is1,5299.55,3235.29,0.1,3
32,crps,sse,1660.24,1072.87,0.3,3
33,crps,crps,837.64,530.71,0.3,3
34,crps,dss,852.37,564.78,0.3,3
35,crps,is1,6225.5,3882.29,0.3,3
36,dss,sse,1660.24,1072.87,0.3,3
37,dss,crps,837.64,530.71,0.3,3
38,dss,dss,852.37,564.78,0.3,3
39,dss,is1,6225.5,3882.29,0.3,3
40,is1,sse,2150.56,1381.97,0.3,3
41,is1,crps,942.79,598.39,0.3,3
42,is1,dss,2051.34,1316.41,0.3,3
43,is1,is1,6168.52,3861.08,0.3,3
44,sse,sse,1660.24,1072.87,0.3,3
45,sse,crps,837.64,530.71,0.3,3
46,sse,dss,852.37,564.78,0.3,3
47,sse,is1,6225.5,3882.29,0.3,3
48,crps,sse,1660.24,1072.87,0.5,3
49,crps,crps,837.64,530.71,0.5,3
50,crps,dss,852.37,564.78,0.5,3
51,crps,is1,6225.5,3882.29,0.5,3
52,dss,sse,1660.24,1072.87,0.5,3
53,dss,crps,837.64,530.71,0.5,3
54,dss,dss,852.37,564.78,0.5,3
55,dss,is1,6225.5,3882.29,0.5,3
56,is1,sse,2150.56,1381.97,0.5,3
57,is1,crps,942.79,598.39,0.5,3
58,is1,dss,2051.34,1316.41,0.5,3
59,is1,is1,6168.52,3861.08,0.5,3
60,sse,sse,1660.24,1072.87,0.5,3
61,sse,crps,837.64,530.71,0.5,3
62,sse,dss,852.37,564.78,0.5,3
63,sse,is1,6225.5,3882.29,0.5,3
64,crps,sse,1660.24,1072.87,0.8,3
65,crps,crps,837.64,530.71,0.8,3
66,crps,dss,852.37,564.78,0.8,3
67,crps,is1,6225.5,3882.29,0.8,3
68,dss,sse,1660.24,1072.87,0.8,3
69,dss,crps,837.64,530.71,0.8,3
70,dss,dss,852.37,564.78,0.8,3
71,dss,is1,6225.5,3882.29,0.8,3
72,is1,sse,2150.56,1381.97,0.8,3
