,Method,Metric,Train,Test,Threshold,Rep
0,crps,sse,144.17,234.2,0.0,0
1,crps,crps,181.76,287.58,0.0,0
2,crps,dss,-1153.15,-1884.34,0.0,0
3,crps,is1,742.38,1161.8,0.0,0
4,dss,sse,143.2,233.89,0.0,0
5,dss,crps,181.86,288.74,0.0,0
6,dss,dss,-1157.18,-1890.47,0.0,0
7,dss,is1,736.15,1166.5,0.0,0
8,is1,sse,144.01,234.28,0.0,0
9,is1,crps,182.32,288.76,0.0,0
10,is1,dss,-1153.13,-1881.0,0.0,0
11,is1,is1,741.75,1161.56,0.0,0
12,sse,sse,144.67,231.42,0.0,0
13,sse,crps,182.11,285.27,0.0,0
14,sse,dss,-1147.62,-1904.26,0.0,0
15,sse,is1,740.6,1156.21,0.0,0
16,crps,sse,144.2,234.27,0.1,0
17,crps,crps,181.74,287.81,0.1,0
18,crps,dss,-1152.85,-1883.71,0.1,0
19,crps,is1,742.47,1162.5,0.1,0
20,dss,sse,143.63,235.4,0.1,0
21,dss,crps,181.77,290.59,0.1,0
22,dss,dss,-1160.7,-1874.04,0.1,0
23,dss,is1,737.28,1171.42,0.1,0
24,is1,sse,144.36,234.85,0.1,0
25,is1,crps,182.33,289.91,0.1,0
26,is1,dss,-1152.78,-1875.57,0.1,0
27,is1,is1,741.51,1166.88,0.1,0
28,sse,sse,144.34,232.61,0.1,0
29,sse,crps,181.71,286.82,0.1,0
30,sse,dss,-1159.57,-1889.07,0.1,0
31,sse,is1,738.79,1160.19,0.1,0
0,crps,sse,145.37,241.81,0.0,1
1,crps,crps,181.23,291.02,0.0,1
2,crps,dss,-1150.21,-1875.83,0.0,1
3,crps,is1,734.53,1162.21,0.0,1
4,dss,sse,145.35,241.09,0.0,1
5,dss,crps,181.6,290.99,0.0,1
6,dss,dss,-1152.83,-1882.61,0.0,1
7,dss,is1,735.26,1160.83,0.0,1
8,is1,sse,144.94,243.64,0.0,1
9,is1,crps,181.42,292.37,0.0,1
10,is1,dss,-1137.26,-1832.74,0.0,1
11,is1,is1,730.34,1162.63,0.0,1
12,sse,sse,143.74,236.91,0.0,1
13,sse,crps,184.01,290.99,0.0,1
14,sse,dss,-1101.67,-1781.8,0.0,1
15,sse,is1,746.75,1166.04,0.0,1
16,crps,sse,145.34,241.91,0.1,1
17,crps,crps,181.07,291.34,0.1,1
18,crps,dss,-1150.44,-1874.78,0.1,1
19,crps,is1,733.96,1163.23,0.1,1
20,dss,sse,144.03,243.3,0.1,1
21,dss,crps,181.01,293.99,0.1,1
22,dss,dss,-1159.67,-1861.39,0.1,1
23,dss,is1,735.35,1172.23,0.1,1
24,is1,sse,143.57,244.19,0.1,1
25,is1,crps,180.53,292.97,0.1,1
26,is1,dss,-1146.21,-1827.45,0.1,1
27,is1,is1,726.91,1166.15,0.1,1
28,sse,sse,143.83,237.04,0.1,1
29,sse,crps,184.03,291.25,0.1,1
30,sse,dss,-1100.79,-1780.56,0.1,1
31,sse,is1,747.81,1167.19,0.1,1
0,crps,sse,147.74,236.18,0.0,2
1,crps,crps,182.85,288.94,0.0,2
2,crps,dss,-1148.83,-1794.07,0.0,2
3,crps,is1,743.64,1158.68,0.0,2
4,dss,sse,149.39,234.45,0.0,2
5,dss,crps,184.06,287.79,0.0,2
6,dss,dss,-1124.68,-1826.31,0.0,2
7,dss,is1,746.32,1156.16,0.0,2
8,is1,sse,146.12,238.04,0.0,2
9,is1,crps,183.56,288.56,0.0,2
10,is1,dss,-1133.65,-1799.04,0.0,2
11,is1,is1,747.79,1153.28,0.0,2
12,sse,sse,148.98,229.84,0.0,2
13,sse,crps,186.86,287.96,0.0,2
14,sse,dss,-1102.37,-1797.79,0.0,2
15,sse,is1,748.89,1151.85,0.0,2
16,crps,sse,147.69,236.24,0.1,2
17,crps,crps,182.79,289.02,0.1,2
18,crps,dss,-1149.31,-1793.51,0.1,2
19,crps,is1,743.15,1158.75,0.1,2
20,dss,sse,148.0,236.66,0.1,2
21,dss,crps,182.75,290.09,0.1,2
22,dss,dss,-1149.17,-1790.07,0.1,2
23,dss,is1,741.15,1162.85,0.1,2
