,Method,Metric,Train,Test,Threshold,Rep
52,dss,sse,20976.98,21268.21,0.5,1
53,dss,crps,1572.15,1542.59,0.5,1
54,dss,dss,2067.18,2011.75,0.5,1
55,dss,is1,5201.64,4970.74,0.5,1
56,is1,sse,20627.7,20837.13,0.5,1
57,is1,crps,1525.72,1503.17,0.5,1
58,is1,dss,2017.35,2020.2,0.5,1
59,is1,is1,5028.71,4820.43,0.5,1
60,sse,sse,17379.38,18092.68,0.5,1
61,sse,crps,1492.07,1516.52,0.5,1
62,sse,dss,2273.73,2292.03,0.5,1
63,sse,is1,5372.21,5418.72,0.5,1
64,crps,sse,20627.7,20837.13,0.8,1
65,crps,crps,1525.72,1503.17,0.8,1
66,crps,dss,2017.35,2020.2,0.8,1
67,crps,is1,5028.71,4820.43,0.8,1
68,dss,sse,20976.98,21268.21,0.8,1
69,dss,crps,1572.15,1542.59,0.8,1
70,dss,dss,2067.18,2011.75,0.8,1
71,dss,is1,5201.64,4970.74,0.8,1
72,is1,sse,20627.7,20837.13,0.8,1
73,is1,crps,1525.72,1503.17,0.8,1
74,is1,dss,2017.35,2020.2,0.8,1
75,is1,is1,5028.71,4820.43,0.8,1
76,sse,sse,17379.38,18092.68,0.8,1
77,sse,crps,1492.07,1516.52,0.8,1
78,sse,dss,2273.73,2292.03,0.8,1
79,sse,is1,5372.21,5418.72,0.8,1
0,crps,sse,16960.44,17435.33,0.0,2
1,crps,crps,1356.52,1418.55,0.0,2
2,crps,dss,1957.88,2015.39,0.0,2
3,crps,is1,4667.65,5063.39,0.0,2
4,dss,sse,21257.53,21007.9,0.0,2
5,dss,crps,1563.21,1543.93,0.0,2
6,dss,dss,2039.71,2026.62,0.0,2
7,dss,is1,4979.67,5162.11,0.0,2
8,is1,sse,20417.05,20023.62,0.0,2
9,is1,crps,1494.38,1523.43,0.0,2
10,is1,dss,2065.33,2145.34,0.0,2
11,is1,is1,4726.41,5092.92,0.0,2
12,sse,sse,17059.75,17426.27,0.0,2
13,sse,crps,1376.48,1446.84,0.0,2
14,sse,dss,2069.65,2173.89,0.0,2
15,sse,is1,4768.54,5169.35,0.0,2
16,crps,sse,16960.44,17435.33,0.1,2
17,crps,crps,1356.52,1418.55,0.1,2
18,crps,dss,1957.88,2015.39,0.1,2
19,crps,is1,4667.65,5063.39,0.1,2
20,dss,sse,21257.53,21007.9,0.1,2
21,dss,crps,1563.21,1543.93,0.1,2
22,dss,dss,2039.71,2026.62,0.1,2
23,dss,is1,4979.67,5162.11,0.1,2
24,is1,sse,20417.05,20023.62,0.1,2
