49482026.18,52312653.09,49043670.97,49601206.11
49522205.71,52244536.67,49079536.49,49621907.02
49378161.54,52043376.99,48863494.83,49509506.18
49395805.39,52150444.3,49031976.95,49581960.22
49529711.68,52295634.49,48953646.12,49553827.77
49478895.35,52186333.16,49073188.79,49557760.52
49507834.9,52147027.85,49091397.08,49533404.06
49531014.72,52010173.59,49058535.1,49617589.74
49486915.15,52079343.37,48973318.9,49461975.42
49468356.5,51977204.44,48987164.68,49571811.79
49418759.87,52163051.24,48973292.43,49478944.08
49384177.82,52093890.45,48914582.99,49481904.72
49489508.29,52255962.12,49095703.15,49550989.84
49558822.77,52193888.98,49052756.61,49644516.06
49411159.37,52180060.71,49000202.11,49539032.13
49422755.16,52221671.93,48978549.91,49618780.3
49563453.47,52131702.29,49037319.18,49596187.79
49367416.42,52119022.92,48835121.78,49530958.58
49549685.21,52246701.7,49020819.78,49623922.31
49367002.27,52161046.76,48855121.36,49481655.52
